scan_time;kick_off;home;away;league;country;tip;odds_open;odds_close;change_pct;late_conc;dc_ratio;rise_start;n_snaps;n_changes;max_move_pct;signal;status;result;profit_loss;notes
2026-03-12 19:40:57;18:00;Centre Chiefs;Jwaneng Galaxy;Premier League;Botswana;1;2.58;2.65;2.71;0.0;0.0;early;661;1;2.71;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;20:45;Plymouth Parkway;Wimborne;Southern League Premier South;England;X;3.6;3.7;2.78;0.0;0.0;early;623;1;2.78;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;23:45;Atletico F.C.;Orsomarso;Primera B;Colombia;2;2.75;2.93;6.55;0.292;0.125;early;603;8;3.27;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;13:00;Nakhon Ratchasima FC;Chiangrai Utd;Thai League 1;Thailand;1;3.03;3.14;3.63;0.273;0.0;early;236;2;2.64;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;18:00;Varazdin;Vukovar 1991;HNL;Croatia;1;2.0;2.05;2.5;0.0;0.0;early;236;1;2.5;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;19:00;Sporting CP B;Chaves;Liga Portugal 2;Portugal;2;2.72;2.84;4.41;0.25;0.0;early;236;5;1.84;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;19:30;Bellinzona;Etoile-Carouge;Challenge League;Switzerland;1;2.7;2.75;1.85;0.0;0.0;early;236;1;1.85;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;20:00;Al Qadsiah;Al Ahli SC;Saudi Professional League;Saudi Arabia;2;2.61;2.72;4.21;0.0;0.0;early;236;1;4.21;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;20:00;Al Fayha;Al Ettifaq;Saudi Professional League;Saudi Arabia;2;3.16;3.2;1.27;0.0;0.0;early;236;1;1.27;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;20:15;Aarau;Vaduz;Challenge League;Switzerland;2;2.35;2.7;14.89;0.257;0.0;early;236;5;5.53;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;20:30;Radomiak Radom;Legia;Ekstraklasa;Poland;1;3.06;3.11;1.63;0.0;0.0;early;236;1;1.63;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;20:45;Dundalk;Waterford;Premier Division;Ireland;1;1.96;1.98;1.02;0.0;0.0;early;236;1;1.02;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;21:00;Wrexham;Swansea;Championship;England;1;2.18;2.32;6.42;0.214;0.0;early;236;3;4.59;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;02:00;Correcaminos;Irapuato;Liga de Expansion MX;Mexico;1;3.0;3.15;5.0;0.0;0.0;early;143;2;3.33;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;06:00;Kyoto;Cerezo Osaka;J1 League;Japan;1;2.1;2.16;2.86;0.0;0.0;early;143;1;2.86;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;07:00;Kashima Antlers;Kawasaki Frontale;J1 League;Japan;1;2.01;2.04;1.49;0.0;0.0;early;143;1;1.49;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;13:00;Shenzhen Xinpengcheng;Tianjin Jinmen Tiger;Super League;China;1;2.49;2.7;8.43;0.0;0.167;early;143;6;6.43;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;13:30;Wealdstone;Solihull Moors;National League;England;2;2.65;2.8;5.66;0.0;0.0;early;143;4;1.89;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;14:00;Saarbrucken;Regensburg;3. Liga;Germany;2;3.48;3.79;8.91;0.0;0.0;early;142;3;6.32;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;14:00;Hansa Rostock;Duisburg;3. Liga;Germany;1;2.0;2.06;3.0;0.0;0.0;early;142;2;2.5;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;14:45;Jagiellonia;Piast Gliwice;Ekstraklasa;Poland;1;1.79;1.85;3.35;0.0;0.2;early;142;5;1.68;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;15:00;Hradec Kralove;Ostrava;Chance Liga;Czech Republic;2;3.22;3.27;1.55;0.0;0.0;early;142;1;1.55;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;15:00;Empoli;Mantova;Serie B;Italy;2;3.7;3.8;2.7;0.0;0.0;early;142;2;2.16;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;15:30;Presov;Komarno;Nike liga;Slovakia;1;2.3;2.35;2.17;0.0;0.0;early;142;2;1.74;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;16:00;Leyton Orient;Peterborough;League One;England;X;3.7;3.81;2.97;0.091;0.0;early;142;3;1.35;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;16:00;Oldham;Grimsby;League Two;England;2;2.75;2.78;1.09;0.0;0.0;early;142;1;1.09;CORRECTION_UP;pending;;;
2026-03-12 19:40:57;16:00;Southend;Forest Green;National League;England;2;3.15;3.35;6.35;0.0;0.0;early;142;3;3.49;CORRECTION_UP;pending;;;
