scan_time;kick_off;home;away;league;country;tip;odds_open;odds_close;change_pct;late_conc;dc_ratio;rise_start;n_snaps;n_changes;max_move_pct;signal;status;result;profit_loss;notes
2026-03-13 23:59:21;17:00;Sarriana;Salamanca;Segunda RFEF - Group 1;Spain;X;3.24;3.33;2.78;0.145;0.235;early;142;17;3.09;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;02:00;Tigre;Argentinos Jrs;Liga Profesional;Argentina;2;2.38;2.55;7.14;0.0;0.0;early;145;1;7.14;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;22:00;Guadalupe;Puntarenas FC;Primera Division;Costa Rica;1;3.19;3.25;1.88;0.0;0.0;early;142;1;1.88;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;22:10;America De Cali;Deportes Tolima;Primera A;Colombia;X;3.2;3.25;1.56;0.0;0.0;early;142;1;1.56;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;00:30;Nublense;La Serena;Liga de Primera;Chile;1;1.89;1.9;0.53;0.0;0.0;early;147;1;0.53;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;20:45;Annecy;Troyes;Ligue 2;France;2;2.47;2.57;4.05;0.0;0.0;early;145;1;4.05;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;21:00;Portsmouth;Derby;Championship;England;1;2.1;2.28;8.57;0.0;0.0;early;145;5;3.81;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;00:00;Liverpool M.;Montevideo City;Liga AUF Uruguaya;Uruguay;1;2.32;2.37;2.16;0.0;0.0;early;145;1;2.16;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;19:00;Jagiellonia;GKS Katowice;Ekstraklasa;Poland;X;3.76;3.9;3.72;0.0;0.0;early;145;1;3.72;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;01:15;Gimnasia Mendoza;Estudiantes L.P.;Liga Profesional;Argentina;2;2.2;2.25;2.27;0.0;0.0;early;145;3;1.36;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;14:00;Eichstatt;Furth II;Regionalliga Bayern;Germany;1;1.75;1.8;2.86;0.0;0.0;early;199;1;2.86;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;14:00;Eichstatt;Furth II;Regionalliga Bayern;Germany;X;3.75;3.8;1.33;0.0;0.0;early;199;1;1.33;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;15:00;Gabala;Neftci Baku;Premier League;Azerbaijan;X;3.3;3.44;4.24;0.0;0.2;early;134;5;1.52;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;12:00;Regar-TadAZ;Istiqlol Dushanbe;Vysshaya Liga;Tajikistan;X;3.24;3.57;10.19;0.242;0.0;early;56;2;7.72;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;17:00;Sekhukhune;Polokwane;Betway Premiership;South Africa;1;2.12;2.16;1.89;0.25;0.0;early;196;2;1.42;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;19:30;Al-Shabbab;Al-Ahli Manama;Premier League;Bahrain;1;3.09;3.53;14.24;0.0;0.0;early;135;1;14.24;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;19:30;Al-Shabbab;Al-Ahli Manama;Premier League;Bahrain;2;2.04;2.1;2.94;0.0;0.0;early;135;3;1.96;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;07:00;Kahibah;Newcastle Olympic;NPL Northern NSW;Australia;2;1.75;1.8;2.86;0.0;0.0;early;133;3;1.71;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;13:00;Naestved;Vendsyssel;2nd Division;Denmark;1;2.23;2.5;12.11;0.0;0.0;early;133;4;6.28;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;12:30;La Union;Deportiva Minera;Segunda RFEF - Group 4;Spain;2;2.6;2.81;8.08;0.0;0.222;early;124;9;6.15;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;19:30;Deisenhofen;Kirchanschoring;Oberliga Bayern Süd;Germany;2;2.88;2.9;0.69;0.0;0.0;early;230;1;0.69;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;20:00;Courtetelle;Delemont;1.Liga Classic Group 2;Switzerland;X;3.85;4.0;3.9;0.0;0.0;early;226;1;3.9;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;16:00;Newington;Limavady;NIFL Championship;Northern Ireland;2;2.19;2.25;2.74;0.0;0.0;early;186;2;2.28;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;12:30;CD Coria;CF Intercity;Segunda RFEF - Group 5;Spain;2;3.2;3.42;6.87;0.0;0.214;early;122;14;21.88;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;02:30;Victoria;Platense;Liga Nacional;Honduras;1;2.5;2.75;10.0;0.0;0.0;early;113;4;6.8;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;02:30;San Francisco;Arabe Unido;LPF;Panama;2;2.84;3.09;8.8;0.152;0.2;early;173;10;2.46;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;14:30;Banik Most-Sous;Zapy;3. CFL - Group B;Czech Republic;1;2.76;3.2;15.94;0.26;0.214;early;52;14;15.94;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;20:00;Espanyol W;Eibar W;Liga F Women;Spain;X;3.3;3.33;0.91;0.0;0.0;early;56;1;0.91;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;18:00;Wasquehal;Haguenau;National 2 - Group B;France;1;2.6;2.67;2.69;0.0;0.0;early;84;2;2.31;CORRECTION_UP;pending;;;
2026-03-13 23:59:21;06:00;Gyeongju KHNP;Busan Kyotong;K3 League;South Korea;1;2.07;2.1;1.45;0.0;0.0;early;61;1;1.45;CORRECTION_UP;pending;;;
