captured_at	kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	reason
13:53:18	14:00	7	STEAM	Ath Bilbao B vs Tenerife	1 (Ath Bilbao B)	3.35	80%	-21.6%	4.27	Steam move: odds dropped -21.6% | Sustained odds drop: 4.27 → 3.35 (-21.6%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	Slask Wroclaw II (Pol) vs Slavia Prague B (Cze)	X (Draw)	3.97	80%	-24.5%	5.26	Steam move: odds dropped -24.5% | Sustained odds drop: 5.26 → 3.97 (-24.5%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	Harrach vs RC Kouba	2 (RC Kouba)	5.34	65%	-6.2%	5.69	Steam move: odds dropped -6.2% | Sustained odds drop: 5.69 → 5.34 (-6.2%) | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	Achyronas-Onisilos vs Ethnikos Latsion	1 (Achyronas-Onisilos)	3.52	65%	-5.9%	3.74	Steam move: odds dropped -5.9% | Sustained odds drop: 3.74 → 3.52 (-5.9%) | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	Le Mans vs Laval	2 (Laval)	5.08	65%	-6.8%	5.45	Steam move: odds dropped -6.8% | Sustained odds drop: 5.45 → 5.08 (-6.8%) | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	Hallescher vs Erfurt	2 (Erfurt)	3.08	65%	-5.8%	3.27	Steam move: odds dropped -5.8% | Sustained odds drop: 3.27 → 3.08 (-5.8%) | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	Oberhausen vs Fortuna Koln	X (Draw)	3.32	65%	-5.1%	3.50	Steam move: odds dropped -5.1% | Sustained odds drop: 3.50 → 3.32 (-5.1%) | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	Kyanos A. V. vs Aias	2 (Aias)	6.61	65%	-7.3%	7.13	Steam move: odds dropped -7.3% | Sustained odds drop: 7.13 → 6.61 (-7.3%) | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	SUSTAINED_DROP	M.E.A.P. Nisou vs Karmiotissa	1 (M.E.A.P. Nisou)	6.36	50%	-10.5%	7.11	Sustained odds drop: 7.11 → 6.36 (-10.5%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	SUSTAINED_DROP	Oberhausen vs Fortuna Koln	1 (Oberhausen)	2.69	50%	-8.8%	2.95	Sustained odds drop: 2.95 → 2.69 (-8.8%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	MIXED	Annaba vs Bordj Menail	1 (Annaba)	1.65	30%	-2.4%	1.69	Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	MIXED	Saida vs Adrar	1 (Saida)	1.39	30%	-2.8%	1.43	Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	MIXED	Lens W vs Fleury 91 W	1 (Lens W)	3.92	30%	-3.5%	4.06	Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	MIXED	Eintracht Frankfurt W vs Bayer Leverkusen W	1 (Eintracht Frankfurt W)	1.64	30%	-4.7%	1.72	Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	MIXED	Spartak Moscow (Rus) vs Dalian Yingbo (Chn)	1 (Spartak Moscow (Rus))	1.13	30%	-4.2%	1.18	Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
14:18:06	14:25	7	STEAM	Dibba Al Fujairah vs Bani Yas	2 (Bani Yas)	1.93	80%	-7.7%	2.09	Steam move: odds dropped -7.7% | Sustained odds drop: 2.09 → 1.93 (-7.7%) | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 50 snapshots — robust data
14:18:06	14:25	7	MIXED	Al Ain U23 vs Al Jazira U23	1 (Al Ain U23)	1.51	30%	-2.6%	1.55	Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 50 snapshots — robust data
14:21:08	14:30	9	STEAM	Jaro vs AC Oulu	2 (AC Oulu)	1.69	80%	-10.6%	1.89	Steam move: odds dropped -10.6% | Sustained odds drop: 1.89 → 1.69 (-10.6%) | Strong drop >8% | Only 9 min to kick-off — late data is more reliable | 51 snapshots — robust data
14:21:08	14:30	9	STEAM	Pro Vercelli U19 vs Lecco U19	1 (Pro Vercelli U19)	2.71	80%	-11.4%	3.06	Steam move: odds dropped -11.4% | Sustained odds drop: 3.06 → 2.71 (-11.4%) | Strong drop >8% | Only 9 min to kick-off — late data is more reliable | 51 snapshots — robust data
14:21:08	14:30	9	STEAM	Lumezzane vs Cittadella	1 (Lumezzane)	2.59	80%	-7.5%	2.80	Steam move: odds dropped -7.5% | Sustained odds drop: 2.80 → 2.59 (-7.5%) | Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 51 snapshots — robust data
14:21:08	14:30	9	STEAM	ACV Assen vs Hoek	1 (ACV Assen)	3.08	80%	-14.9%	3.62	Steam move: odds dropped -14.9% | Sustained odds drop: 3.62 → 3.08 (-14.9%) | Strong drop >8% | Only 9 min to kick-off — late data is more reliable | 51 snapshots — robust data
