captured_at	kick_off	min_to_ko	match	bet	odds	opening	drop_pct	snapshots	confidence	score	market_consensus	type	reason
00:06:46	LIVE 73''	LIVE	Atletico-MG vs Athletic Club	X (Draw)	1.98	1.73	+12.0%	T3	70%	58.5	1:1	LIVE_VALUE	Edge: +12.0% | Model: 58% vs market: 51% | Fair: 1.73 vs offered: 1.98 | Drawing 1:1 | Second half (73') | T3
00:09:51	LIVE 24''	LIVE	Novorizontino vs Sao Bernardo	2 (Sao Bernardo)	2.51	2.21	+13.7%	T4	80%	73.9	0:1	LIVE_VALUE	Edge: +13.7% | Model: 45% vs market: 40% | Fair: 2.21 vs offered: 2.51 | Away leading 0:1 | Early (24') | T4
00:12:56	LIVE 27''	LIVE	Novorizontino vs Sao Bernardo	2 (Sao Bernardo)	2.46	2.15	+14.5%	T4	80%	75.3	0:1	LIVE_VALUE	Edge: +14.5% | Model: 47% vs market: 41% | Fair: 2.15 vs offered: 2.46 | Away leading 0:1 | Early (27') | T4
00:12:56	LIVE 43''	LIVE	Brusque vs Concordia	1 (Brusque)	1.82	1.48	+12.0%	T3	65%	62.2	0:0	LIVE_VALUE	Edge: +12.0% | Model: 68% vs market: 55% | Fair: 1.48 vs offered: 1.82 | Home value in draw | Mid-game (43') | T3
00:16:05	LIVE 58''	LIVE	Carmelita vs CS Uruguay	1 (Carmelita)	4.31	3.24	+18.0%	T4	80%	81.5	0:0	LIVE_VALUE	Edge: +18.0% | Model: 31% vs market: 23% | Fair: 3.24 vs offered: 4.31 | Home value in draw | Mid-game (58') | T4
00:16:05	LIVE 30''	LIVE	Novorizontino vs Sao Bernardo	2 (Sao Bernardo)	2.49	2.09	+18.0%	T4	80%	81.5	0:1	LIVE_VALUE	Edge: +18.0% | Model: 48% vs market: 40% | Fair: 2.09 vs offered: 2.49 | Away leading 0:1 | Mid-game (30') | T4
00:16:05	LIVE 45+''	LIVE	Brusque vs Concordia	1 (Brusque)	1.86	1.54	+12.0%	T3	65%	62.2	0:0	LIVE_VALUE	Edge: +12.0% | Model: 65% vs market: 54% | Fair: 1.54 vs offered: 1.86 | Home value in draw | Mid-game (47') | T3
00:16:05	LIVE 16''	LIVE	San Luis vs Copiapo	1 (San Luis)	2.50	2.02	+12.0%	T3	70%	58.5	0:0	LIVE_VALUE	Edge: +12.0% | Model: 50% vs market: 40% | Fair: 2.02 vs offered: 2.50 | Home value in draw | Early (16') | T3
00:19:46	LIVE 62''	LIVE	Carmelita vs CS Uruguay	1 (Carmelita)	4.49	3.49	+18.0%	T4	80%	81.5	0:0	LIVE_VALUE	Edge: +18.0% | Model: 29% vs market: 22% | Fair: 3.49 vs offered: 4.49 | Home value in draw | Second half (62') | T4
00:19:46	LIVE 34''	LIVE	Novorizontino vs Sao Bernardo	2 (Sao Bernardo)	2.41	2.01	+18.0%	T4	80%	81.5	0:1	LIVE_VALUE	Edge: +18.0% | Model: 50% vs market: 41% | Fair: 2.01 vs offered: 2.41 | Away leading 0:1 | Mid-game (34') | T4
