captured_at	kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	edge	fair_odds	kelly	reason
19:52:56	20:00	7	STEAM	Watford U21 vs Charlton U21	2 (Charlton U21)	2.05	80%	-17.0%	2.47				Steam move: odds dropped -17.0% | Sustained odds drop: 2.47 → 2.05 (-17.0%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 575 snapshots — robust data
19:52:56	20:00	7	STEAM	Vikingur Reykjavik W vs Fram W	X (Draw)	11.99	80%	-20.2%	15.02				Steam move: odds dropped -20.2% | Sustained odds drop: 15.02 → 11.99 (-20.2%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 216 snapshots — robust data
19:52:56	20:00	7	STEAM	FC Emmen vs Cambuur	1 (FC Emmen)	2.84	80%	-10.4%	3.17				Steam move: odds dropped -10.4% | Sustained odds drop: 3.17 → 2.84 (-10.4%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 618 snapshots — robust data
19:52:56	20:00	7	STEAM	Burnley U21 vs Brentford U21	1 (Burnley U21)	2.14	65%	-5.3%	2.26				Steam move: odds dropped -5.3% | Sustained odds drop: 2.26 → 2.14 (-5.3%) | Only 7 min to kick-off — late data is more reliable | 575 snapshots — robust data
19:52:56	20:00	7	LATE_SHARP	Crystal Palace U21 vs Middlesbrough U21	2 (Middlesbrough U21)	2.96	50%	+9.2%	2.71				Late sharp move detected on 2 | Only 7 min to kick-off — late data is more reliable | 575 snapshots — robust data
19:52:56	20:00	7	SUSTAINED_DROP	Watford U21 vs Charlton U21	X (Draw)	4.03	35%	-6.7%	4.32				Sustained odds drop: 4.32 → 4.03 (-6.7%) | Only 7 min to kick-off — late data is more reliable | 575 snapshots — robust data
19:52:56	20:00	7	MIXED	Leicester U21 vs Norwich U21	1 (Leicester U21)	1.76	30%	-3.8%	1.83				Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 575 snapshots — robust data
19:52:56	20:00	7	MIXED	Jong AZ vs Dordrecht	2 (Dordrecht)	2.49	30%	-3.5%	2.58				Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 618 snapshots — robust data
20:21:40	20:30	8	STEAM	Racing Santander vs Mirandes	2 (Mirandes)	5.24	65%	-7.3%	5.65				Steam move: odds dropped -7.3% | Sustained odds drop: 5.65 → 5.24 (-7.3%) | Only 8 min to kick-off — late data is more reliable | 630 snapshots — robust data
20:53:10	21:00	7	STEAM	Atletico F.C. vs Inter Palmira	2 (Inter Palmira)	2.13	80%	-7.0%	2.29				Steam move: odds dropped -7.0% | Sustained odds drop: 2.29 → 2.13 (-7.0%) | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 643 snapshots — robust data
20:53:10	21:00	7	STEAM	Villarreal vs Espanyol	X (Draw)	3.97	80%	-5.7%	4.21				Steam move: odds dropped -5.7% | Sustained odds drop: 4.21 → 3.97 (-5.7%) | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 636 snapshots — robust data
20:53:10	21:00	7	STEAM	Aarhus vs Odense	2 (Odense)	4.62	65%	-6.7%	4.95				Steam move: odds dropped -6.7% | Sustained odds drop: 4.95 → 4.62 (-6.7%) | Only 7 min to kick-off — late data is more reliable | 638 snapshots — robust data
20:53:10	21:01	8	MIXED	Sheffield Utd vs Middlesbrough	2 (Middlesbrough)	2.98	30%	-2.3%	3.05				Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 636 snapshots — robust data
21:36:25	21:45	9	STEAM	FC Porto vs Sporting CP	2 (Sporting CP)	2.91	95%	-11.3%	3.28				Steam move: odds dropped -11.3% | Sustained odds drop: 3.28 → 2.91 (-11.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 658 snapshots — robust data
21:52:57	22:00	7	STEAM	U. Magdalena vs Boca Juniors	1 (U. Magdalena)	1.43	95%	-11.2%	1.61				Steam move: odds dropped -11.2% | Sustained odds drop: 1.61 → 1.43 (-11.2%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 669 snapshots — robust data
21:52:57	22:00	7	STEAM	Limache vs O'Higgins	2 (O'Higgins)	2.59	95%	-13.7%	3.00				Steam move: odds dropped -13.7% | Sustained odds drop: 3.00 → 2.59 (-13.7%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 9 snapshots — robust data
21:52:57	22:00	7	STEAM	Cavalier vs Spanish Town Police	2 (Spanish Town Police)	9.60	80%	-30.8%	13.88				Steam move: odds dropped -30.8% | Sustained odds drop: 13.88 → 9.60 (-30.8%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 639 snapshots — robust data
21:52:57	22:00	7	STEAM	Argentina U20 W vs Peru U20 W	X (Draw)	7.82	80%	-8.0%	8.50				Steam move: odds dropped -8.0% | Sustained odds drop: 8.50 → 7.82 (-8.0%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 613 snapshots — robust data
21:52:57	22:00	7	STEAM	Botafogo RJ vs Flamengo RJ	2 (Flamengo RJ)	1.67	75%	-10.2%	1.86				Steam move: odds dropped -10.2% | Sustained odds drop: 1.86 → 1.67 (-10.2%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable
21:52:57	22:00	7	STEAM	Everton vs Huachipato	X (Draw)	2.93	65%	-7.3%	3.16				Steam move: odds dropped -7.3% | Sustained odds drop: 3.16 → 2.93 (-7.3%) | Only 7 min to kick-off — late data is more reliable | 10 snapshots — robust data
21:52:57	22:00	7	SUSTAINED_DROP	Cavalier vs Spanish Town Police	X (Draw)	5.48	50%	-9.3%	6.04				Sustained odds drop: 6.04 → 5.48 (-9.3%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 639 snapshots — robust data
21:52:57	22:00	7	MIXED	Colombia U20 W vs Uruguay U20 W	1 (Colombia U20 W)	1.83	30%	-2.1%	1.87				Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 19 snapshots — robust data
21:56:33	22:05	8	STEAM	Bogota vs Cartagena	X (Draw)	3.00	80%	-12.0%	3.41				Steam move: odds dropped -12.0% | Sustained odds drop: 3.41 → 3.00 (-12.0%) | Strong drop >8% | Only 8 min to kick-off — late data is more reliable | 670 snapshots — robust data
21:56:33	22:05	8	SUSTAINED_DROP	Bogota vs Cartagena	1 (Bogota)	2.94	50%	-35.1%	4.53				Sustained odds drop: 4.53 → 2.94 (-35.1%) | Strong drop >8% | Only 8 min to kick-off — late data is more reliable | 670 snapshots — robust data
22:54:07	23:00	6	STEAM	Tristan Suarez vs Temperley	X (Draw)	2.48	95%	-11.1%	2.79				Steam move: odds dropped -11.1% | Sustained odds drop: 2.79 → 2.48 (-11.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 16 snapshots — robust data
22:54:07	23:00	6	STEAM	Vilavelhense vs Serra	2 (Serra)	1.87	80%	-12.6%	2.14				Steam move: odds dropped -12.6% | Sustained odds drop: 2.14 → 1.87 (-12.6%) | Strong drop >8% | Only 6 min to kick-off — late data is more reliable | 696 snapshots — robust data
22:54:07	23:00	6	STEAM	Monsoon vs Inter Santa Maria	2 (Inter Santa Maria)	2.73	80%	-16.5%	3.27				Steam move: odds dropped -16.5% | Sustained odds drop: 3.27 → 2.73 (-16.5%) | Strong drop >8% | Only 6 min to kick-off — late data is more reliable | 697 snapshots — robust data
22:54:07	23:00	6	STEAM	Vasco da Gama AC vs Independencia	2 (Independencia)	3.16	80%	-20.4%	3.97				Steam move: odds dropped -20.4% | Sustained odds drop: 3.97 → 3.16 (-20.4%) | Strong drop >8% | Only 6 min to kick-off — late data is more reliable | 120 snapshots — robust data
22:54:07	23:00	6	STEAM	Racing Cordoba vs CA Estudiantes	2 (CA Estudiantes)	2.80	80%	-10.0%	3.11				Steam move: odds dropped -10.0% | Sustained odds drop: 3.11 → 2.80 (-10.0%) | Strong drop >8% | Only 6 min to kick-off — late data is more reliable | 14 snapshots — robust data
23:23:38	23:30	6	MIXED	Serra Branca vs Nacional de Patos	X (Draw)	3.40	30%	-3.1%	3.51				Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 743 snapshots — robust data
23:38:17	23:45	7	MIXED	Talleres Cordoba vs Gimnasia Mendoza	1 (Talleres Cordoba)	1.96	30%	-2.5%	2.01				Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 22 snapshots — robust data
