captured_at	kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	edge	fair_odds	kelly	reason
12:53:12	13:00	7	STEAM	Adanaspor AS vs K. İstiklalspor	1 (Adanaspor AS)	26.13	65%	-5.6%	27.67				Steam move: odds dropped -5.6% | Sustained odds drop: 27.67 → 26.13 (-5.6%) | Only 7 min to kick-off — late data is more reliable | 55 snapshots — robust data
12:53:12	13:00	7	SUSTAINED_DROP	OFK Beograd Mozzart Bet vs Cukaricki	1 (OFK Beograd Mozzart Bet)	2.48	50%	-14.8%	2.91				Sustained odds drop: 2.91 → 2.48 (-14.8%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 428 snapshots — robust data
12:53:12	13:00	7	SUSTAINED_DROP	Fasil Kenema vs Hadiya Hossana	X (Draw)	2.55	35%	-7.3%	2.75				Sustained odds drop: 2.75 → 2.55 (-7.3%) | Only 7 min to kick-off — late data is more reliable | 428 snapshots — robust data
12:53:12	13:00	7	SUSTAINED_DROP	Arnavutkoy Bl. vs Guzide Gebzespor	X (Draw)	3.04	35%	-5.3%	3.21				Sustained odds drop: 3.21 → 3.04 (-5.3%) | Only 7 min to kick-off — late data is more reliable | 428 snapshots — robust data
13:33:52	13:40	6	MIXED	Al Batin vs Al-Ula	2 (Al-Ula)	1.36	30%	-4.2%	1.42				Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 416 snapshots — robust data
13:53:35	14:00	6	STEAM	Al Jabalain vs Al Bukiryah	1 (Al Jabalain)	1.66	95%	-13.5%	1.92				Steam move: odds dropped -13.5% | Sustained odds drop: 1.92 → 1.66 (-13.5%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 425 snapshots — robust data
13:53:35	14:00	6	STEAM	Ural (Rus) vs Yunnan Yukun (Chn)	1 (Ural (Rus))	1.46	95%	-13.6%	1.69				Steam move: odds dropped -13.6% | Sustained odds drop: 1.69 → 1.46 (-13.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 405 snapshots — robust data
13:53:35	14:00	6	MIXED	Flamengo W vs Vasco W	X (Draw)	5.51	30%	-2.1%	5.63				Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 98 snapshots — robust data
13:53:35	14:00	6	MIXED	JKT Tanzania vs Mashujaa	2 (Mashujaa)	4.59	30%	-4.2%	4.79				Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 218 snapshots — robust data
13:56:59	14:05	8	MIXED	Abha vs Al Zulfi	1 (Abha)	1.45	30%	-4.0%	1.51				Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 427 snapshots — robust data
14:36:41	14:45	8	STEAM	Nasaf Qarshi (Uzb) vs Al Shorta (Irq)	2 (Al Shorta (Irq))	2.53	80%	-15.1%	2.98				Steam move: odds dropped -15.1% | Sustained odds drop: 2.98 → 2.53 (-15.1%) | Strong drop >8% | Only 8 min to kick-off — late data is more reliable | 469 snapshots — robust data
14:51:02	15:00	9	STEAM	Kayserispor vs Kocaelispor	2 (Kocaelispor)	2.26	80%	-9.6%	2.50				Steam move: odds dropped -9.6% | Sustained odds drop: 2.50 → 2.26 (-9.6%) | Strong drop >8% | Only 9 min to kick-off — late data is more reliable | 477 snapshots — robust data
14:51:02	15:00	9	MIXED	Izmir Coruhlu vs Tire 2021 FK	2 (Tire 2021 FK)	1.78	30%	-3.3%	1.84				Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 440 snapshots — robust data
15:23:49	15:30	6	STEAM	Sloga Doboj vs Tekstilac	1 (Sloga Doboj)	1.04	95%	-41.2%	1.77				Steam move: odds dropped -41.2% | Sustained odds drop: 1.77 → 1.04 (-41.2%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 14 snapshots — robust data
15:23:49	15:30	6	STEAM	Fauve Azur Elite vs Bamenda	X (Draw)	2.62	65%	-6.4%	2.80				Steam move: odds dropped -6.4% | Sustained odds drop: 2.80 → 2.62 (-6.4%) | Only 6 min to kick-off — late data is more reliable | 479 snapshots — robust data
15:23:49	15:30	6	SUSTAINED_DROP	Fauve Azur Elite vs Bamenda	1 (Fauve Azur Elite)	2.70	50%	-9.4%	2.98				Sustained odds drop: 2.98 → 2.70 (-9.4%) | Strong drop >8% | Only 6 min to kick-off — late data is more reliable | 479 snapshots — robust data
15:23:49	15:30	6	VALUE+LATE_SHARP	Sloga Doboj vs Tekstilac	2 (Tekstilac)	21.00	50%	+389.5%	4.29	+15.0%	10.79	0.2%	Late sharp move detected on 2 | Only 6 min to kick-off — late data is more reliable | 14 snapshots — robust data
15:52:55	16:00	7	STEAM	Neftci Baku vs Gabala	2 (Gabala)	4.29	80%	-18.0%	5.23				Steam move: odds dropped -18.0% | Sustained odds drop: 5.23 → 4.29 (-18.0%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 75 snapshots — robust data
15:52:55	16:00	7	SUSTAINED_DROP	Neftci Baku vs Gabala	X (Draw)	3.16	50%	-8.9%	3.47				Sustained odds drop: 3.47 → 3.16 (-8.9%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 75 snapshots — robust data
15:58:23	16:05	7	MIXED	Al Jubail vs Al Orubah	2 (Al Orubah)	1.52	30%	-3.2%	1.57				Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 453 snapshots — robust data
16:21:47	16:30	8	STEAM	Teuta vs Egnatia	X (Draw)	3.12	65%	-5.5%	3.30				Steam move: odds dropped -5.5% | Sustained odds drop: 3.30 → 3.12 (-5.5%) | Only 8 min to kick-off — late data is more reliable | 15 snapshots — robust data
