minute	score	match	bet	odds	fair_odds	edge	model_prob	kelly	confidence	tier	country	league	reason
67'	0:0	Velo Clube vs Bragantino	1 (Velo Clube)	11.28	8.56	+18.0%	12%	0.4%	75%	T4	Brazil	Paulista	Edge: +18.0% | Model: 12% vs market: 9% | Fair: 8.56 vs offered: 11.28 | Home value in draw | Second half (67') | T4
67'	1:0	Capivariano vs Mirassol	1 (Capivariano)	1.50	1.33	+13.1%	75%	5.0%	75%	T4	Brazil	Paulista	Edge: +13.1% | Model: 75% vs market: 67% | Fair: 1.33 vs offered: 1.50 | Home leading 1:0 | Second half (67') | T4
HT	0:0	Cobreloa vs Antofagasta	1 (Cobreloa)	2.15	1.76	+12.0%	57%	2.6%	75%	T3	Chile	Copa Chile	Edge: +12.0% | Model: 57% vs market: 47% | Fair: 1.76 vs offered: 2.15 | Home value in draw | Mid-game (45') | T3
28'	1:0	Real Cundinamarca vs Leones	1 (Real Cundinamarca)	1.28	1.09	+12.0%	92%	5.0%	65%	T3	Colombia	Primera B	Edge: +12.0% | Model: 92% vs market: 78% | Fair: 1.09 vs offered: 1.28 | Home leading 1:0 | Early (28') | T3
67'	0:0	Velo Clube vs Bragantino	X (Draw)	1.99	1.80	+10.8%	56%	2.7%	75%	T4	Brazil	Paulista	Edge: +10.8% | Model: 56% vs market: 50% | Fair: 1.80 vs offered: 1.99 | Drawing 0:0 | Second half (67') | T4
81'	0:1	Platense Municipal vs Cacahuatique	2 (Cacahuatique)	1.21	1.10	+10.3%	91%	5.0%	65%	T4	El Salvador	Primera Division	Edge: +10.3% | Model: 91% vs market: 83% | Fair: 1.10 vs offered: 1.21 | Away leading 0:1 | Second half (81') | T4
66'	1:0	Coritiba vs Cianorte	1 (Coritiba)	1.18	1.07	+10.3%	93%	5.0%	60%	T3	Brazil	Paranaense	Edge: +10.3% | Model: 93% vs market: 85% | Fair: 1.07 vs offered: 1.18 | Home leading 1:0 | Second half (66') | T3
43'	0:0	Huracan vs San Lorenzo	1 (Huracan)	3.01	2.74	+10.0%	37%	1.2%	75%	T3	Argentina	Liga Profesional	Edge: +10.0% | Model: 37% vs market: 33% | Fair: 2.74 vs offered: 3.01 | Home value in draw | Mid-game (43') | T3
69'	2:3	Libertad Asuncion vs Guarani	2 (Guarani)	1.42	1.31	+8.0%	76%	4.8%	75%	T4	Paraguay	Copa de Primera	Edge: +8.0% | Model: 76% vs market: 70% | Fair: 1.31 vs offered: 1.42 | Away leading 2:3 | Second half (69') | T4
