minute	score	match	bet	odds	fair_odds	edge	model_prob	kelly	confidence	tier	country	league	reason
HT	1:1	Gimnasia Mendoza 2 vs Racing Club 2	1 (Gimnasia Mendoza 2)	3.33	3.02	+10.4%	33%	1.1%	75%	T3	Argentina	Reserve League	Edge: +10.4% | Model: 33% vs market: 30% | Fair: 3.02 vs offered: 3.33 | Home value in draw | Mid-game (45') | T3
37'	0:0	Jacuipense vs Alagoinhas	1 (Jacuipense)	2.38	2.17	+9.7%	46%	1.8%	75%	T3	Brazil	Baiano	Edge: +9.7% | Model: 46% vs market: 42% | Fair: 2.17 vs offered: 2.38 | Home value in draw | Mid-game (37') | T3
