captured_at	match_date	days_until	kick_off	match	bet	odds	opening	drop_pct	snapshots	confidence	score	market_consensus	type	stage	reason
23:57:59	2026-02-10	1	17:00	Tractor (Irn) vs Al-Sadd (Qat)	2 (Al-Sadd (Qat))	1.73	2.85	-39.3%	146	85%	95.5	DA	STEAM	early	Steam move: -39.3% | Drop: 2.85 → 1.73 (-39.3%) | Strong drop >8% | Market consensus — others rising | 146 snapshots | EARLY
22:30:45	2026-02-10	1	20:30	Wales U17 W vs USA U17 W	2 (USA U17 W)	1.40	1.97	-28.9%	385	85%	95.5	DA	STEAM	early	Steam move: -28.9% | Drop: 1.97 → 1.40 (-28.9%) | Strong drop >8% | Market consensus — others rising | 385 snapshots | EARLY
23:57:59	2026-02-10	1	14:00	Shkupi vs Tikves	2 (Tikves)	1.10	6.00	-81.7%	89	85%	94.4	DA	STEAM	early	Steam move: -81.7% | Drop: 6.00 → 1.10 (-81.7%) | Strong drop >8% | Market consensus — others rising | 89 snapshots | EARLY
23:57:59	2026-02-10	1	15:30	Sloga Doboj vs Tekstilac	1 (Sloga Doboj)	1.06	1.77	-40.1%	87	85%	94.2	DA	STEAM	early	Steam move: -40.1% | Drop: 1.77 → 1.06 (-40.1%) | Strong drop >8% | Market consensus — others rising | 87 snapshots | EARLY
23:57:59	2026-02-10	1	20:00	Wolves U21 vs Monaco II	2 (Monaco II)	1.65	2.16	-23.6%	146	85%	93.3	DA	STEAM	early	Steam move: -23.6% | Drop: 2.16 → 1.65 (-23.6%) | Strong drop >8% | Market consensus — others rising | 146 snapshots | EARLY
23:57:59	2026-02-10	1	00:00	Union La Calera vs Cobresal	1 (Union La Calera)	1.93	2.43	-20.6%	151	85%	88.4	DA	STEAM	early	Steam move: -20.6% | Drop: 2.43 → 1.93 (-20.6%) | Strong drop >8% | Market consensus — others rising | 151 snapshots | EARLY
23:57:59	2026-02-10	1	20:45	Annan vs Dumbarton	2 (Dumbarton)	3.03	3.73	-18.8%	146	85%	85.5	DA	STEAM	early	Steam move: -18.8% | Drop: 3.73 → 3.03 (-18.8%) | Strong drop >8% | Market consensus — others rising | 146 snapshots | EARLY
23:57:59	2026-02-10	1	01:00	UNAM Pumas W vs Guadalajara Chivas W	1 (UNAM Pumas W)	2.67	3.19	-16.3%	146	85%	81.6	DA	STEAM	early	Steam move: -16.3% | Drop: 3.19 → 2.67 (-16.3%) | Strong drop >8% | Market consensus — others rising | 146 snapshots | EARLY
23:57:24	2026-02-14	5	17:00	Bodrumspor vs Keciorengucu	1 (Bodrumspor)	1.89	2.43	-22.2%	25	85%	81.1	DA	STEAM	early	Steam move: -22.2% | Drop: 2.43 → 1.89 (-22.2%) | Strong drop >8% | Market consensus — others rising | 25 snapshots | EARLY
23:57:24	2026-02-14	5	13:30	Metaloglobus Bucharest vs Otelul	2 (Otelul)	1.40	1.78	-21.3%	25	85%	79.7	DA	STEAM	early	Steam move: -21.3% | Drop: 1.78 → 1.40 (-21.3%) | Strong drop >8% | Market consensus — others rising | 25 snapshots | EARLY
23:57:24	2026-02-15	6	00:00	Colon Santa Fe vs Deportivo Madryn	2 (Deportivo Madryn)	3.08	3.89	-20.8%	23	85%	78.4	DA	STEAM	early	Steam move: -20.8% | Drop: 3.89 → 3.08 (-20.8%) | Strong drop >8% | Market consensus — others rising | 23 snapshots | EARLY
23:57:59	2026-02-10	1	18:00	Zrinjski vs Stupcanica	1 (Zrinjski)	1.22	1.43	-14.7%	87	85%	77.7	DA	STEAM	early	Steam move: -14.7% | Drop: 1.43 → 1.22 (-14.7%) | Strong drop >8% | Market consensus — others rising | 87 snapshots | EARLY
23:57:24	2026-02-15	6	16:00	Amarante vs Academica	1 (Amarante)	2.80	3.51	-20.2%	23	85%	77.5	DA	STEAM	early	Steam move: -20.2% | Drop: 3.51 → 2.80 (-20.2%) | Strong drop >8% | Market consensus — others rising | 23 snapshots | EARLY
23:57:24	2026-02-11	2	14:00	Botev Vratsa vs Arda	2 (Arda)	1.92	2.38	-19.3%	26	85%	76.6	DA	STEAM	early	Steam move: -19.3% | Drop: 2.38 → 1.92 (-19.3%) | Strong drop >8% | Market consensus — others rising | 26 snapshots | EARLY
23:57:59	2026-02-10	1	23:00	Vasco da Gama AC vs Independencia	2 (Independencia)	3.09	3.97	-22.2%	146	70%	76.5	NE	STEAM	early	Steam move: -22.2% | Drop: 3.97 → 3.09 (-22.2%) | Strong drop >8% | 146 snapshots | EARLY
23:57:59	2026-02-10	1	14:00	Dynamo Moscow (Rus) vs Krasnodar (Rus)	2 (Krasnodar (Rus))	1.94	2.23	-13.0%	146	85%	76.3	DA	STEAM	early	Steam move: -13.0% | Drop: 2.23 → 1.94 (-13.0%) | Strong drop >8% | Market consensus — others rising | 146 snapshots | EARLY
22:31:29	2026-02-10	1	23:00	Tirol vs Maracana	2 (Maracana)	2.83	3.23	-12.4%	667	85%	75.3	DA	STEAM	early	Steam move: -12.4% | Drop: 3.23 → 2.83 (-12.4%) | Strong drop >8% | Market consensus — others rising | 667 snapshots | EARLY
23:57:59	2026-02-10	1	20:45	Whitehawk vs Cheshunt	1 (Whitehawk)	2.01	2.28	-11.8%	146	85%	74.4	DA	STEAM	early	Steam move: -11.8% | Drop: 2.28 → 2.01 (-11.8%) | Strong drop >8% | Market consensus — others rising | 146 snapshots | EARLY
23:03:41	2026-02-10	1	23:00	Vilavelhense vs Serra	2 (Serra)	1.89	2.14	-11.7%	711	85%	74.2	DA	STEAM	early	Steam move: -11.7% | Drop: 2.14 → 1.89 (-11.7%) | Strong drop >8% | Market consensus — others rising | 711 snapshots | EARLY
23:57:59	2026-02-10	1	13:15	Shanghai Shenhua (Chn) vs Machida (Jpn)	2 (Machida (Jpn))	2.17	2.45	-11.4%	146	85%	73.8	DA	STEAM	early	Steam move: -11.4% | Drop: 2.45 → 2.17 (-11.4%) | Strong drop >8% | Market consensus — others rising | 146 snapshots | EARLY
23:57:59	2026-02-10	1	13:15	Chengdu Rongcheng (Chn) vs Buriram (Tha)	1 (Chengdu Rongcheng (Chn))	1.99	2.50	-20.4%	146	70%	73.6	NE	STEAM	early	Steam move: -20.4% | Drop: 2.50 → 1.99 (-20.4%) | Strong drop >8% | 146 snapshots | EARLY
23:57:59	2026-02-10	1	19:00	CFR Cluj vs FC Rapid Bucuresti	2 (FC Rapid Bucuresti)	3.03	3.38	-10.4%	146	85%	72.1	DA	STEAM	early	Steam move: -10.4% | Drop: 3.38 → 3.03 (-10.4%) | Strong drop >8% | Market consensus — others rising | 146 snapshots | EARLY
23:57:59	2026-02-10	1	20:45	Stockton vs Prescot	2 (Prescot)	3.10	3.82	-18.9%	146	70%	71.2	NE	STEAM	early	Steam move: -18.9% | Drop: 3.82 → 3.10 (-18.9%) | Strong drop >8% | 146 snapshots | EARLY
23:57:59	2026-02-10	1	03:00	Monterrey W vs Toluca W	1 (Monterrey W)	1.85	2.05	-9.8%	146	85%	71.1	DA	STEAM	early	Steam move: -9.8% | Drop: 2.05 → 1.85 (-9.8%) | Strong drop >8% | Market consensus — others rising | 146 snapshots | EARLY
23:57:24	2026-02-14	5	11:15	Septemvri Sofia vs Montana	2 (Montana)	2.61	3.57	-26.9%	25	70%	71.0	NE	STEAM	early	Steam move: -26.9% | Drop: 3.57 → 2.61 (-26.9%) | Strong drop >8% | 25 snapshots | EARLY
