minute	score	match	bet	odds	fair_odds	edge	model_prob	kelly	confidence	tier	country	league	reason
13'	0:0	Novorizontino vs Sao Bernardo	1 (Novorizontino)	1.83	1.60	+14.2%	62%	4.3%	75%	T4	Brazil	Paulista	Edge: +14.2% | Model: 62% vs market: 55% | Fair: 1.60 vs offered: 1.83 | Home value in draw | Early (13') | T4
19'	1:0	Imperatriz vs Tuntum	1 (Imperatriz)	1.32	1.13	+12.0%	88%	5.0%	60%	T3	Brazil	Maranhense	Edge: +12.0% | Model: 88% vs market: 76% | Fair: 1.13 vs offered: 1.32 | Home leading 1:0 | Early (19') | T3
HT	0:0	Tombense vs URT	1 (Tombense)	2.46	2.19	+12.0%	46%	2.1%	75%	T3	Brazil	Mineiro	Edge: +12.0% | Model: 46% vs market: 41% | Fair: 2.19 vs offered: 2.46 | Home value in draw | Mid-game (45') | T3
67'	1:1	Londrina vs Sao Joseense	1 (Londrina)	2.17	1.93	+12.0%	52%	2.6%	70%	T3	Brazil	Paranaense	Edge: +12.0% | Model: 52% vs market: 46% | Fair: 1.93 vs offered: 2.17 | Home value in draw | Second half (67') | T3
HT	0:0	Castanhal vs Tuna Luso	1 (Castanhal)	2.54	2.33	+9.2%	43%	1.5%	75%	T3	Brazil	Paraense	Edge: +9.2% | Model: 43% vs market: 39% | Fair: 2.33 vs offered: 2.54 | Home value in draw | Mid-game (45') | T3
HT	0:0	Sporting Jax W vs DC Power W	1 (Sporting Jax W)	2.05	1.94	+5.5%	51%	1.3%	70%	T2	USA	USL Super League Women	Edge: +5.5% | Model: 51% vs market: 49% | Fair: 1.94 vs offered: 2.05 | Home value in draw | Mid-game (45') | T2
71'	1:0	Porto-BA vs Galicia	1 (Porto-BA)	1.15	1.09	+5.0%	91%	5.0%	65%	T3	Brazil	Baiano	Edge: +5.0% | Model: 91% vs market: 87% | Fair: 1.09 vs offered: 1.15 | Home leading 1:0 | Second half (71') | T3
62'	0:1	Deportiva Venados vs Celaya	2 (Celaya)	1.52	1.42	+5.0%	70%	2.4%	70%	T1	Mexico	Liga Premier Serie A	Edge: +5.0% | Model: 70% vs market: 66% | Fair: 1.42 vs offered: 1.52 | Away leading 0:1 | Second half (62') | T1
68'	0:0	Dragones Toluca vs Inter Playa Del Carmen	X (Draw)	1.92	1.77	+5.0%	57%	1.4%	65%	T1	Mexico	Liga Premier Serie A	Edge: +5.0% | Model: 57% vs market: 52% | Fair: 1.77 vs offered: 1.92 | Drawing 0:0 | Second half (68') | T1
