captured_at	kick_off	min_to_ko	match	bet	odds	opening	drop_pct	snapshots	confidence	score	market_consensus	type	reason
00:01:32	LIVE 70''	LIVE	Velo Clube vs Bragantino	1 (Velo Clube)	12.56	9.24	+18.0%	T4	75%	75.2	0:0	LIVE_VALUE	Edge: +18.0% | Model: 11% vs market: 8% | Fair: 9.24 vs offered: 12.56 | Home value in draw | Second half (70') | T4
00:01:32	LIVE 70''	LIVE	Velo Clube vs Bragantino	X (Draw)	1.95	1.68	+16.0%	T4	75%	71.7	0:0	LIVE_VALUE	Edge: +16.0% | Model: 59% vs market: 51% | Fair: 1.68 vs offered: 1.95 | Drawing 0:0 | Second half (70') | T4
00:01:32	LIVE 71''	LIVE	Capivariano vs Mirassol	1 (Capivariano)	1.46	1.27	+14.7%	T4	75%	69.4	1:0	LIVE_VALUE	Edge: +14.7% | Model: 79% vs market: 68% | Fair: 1.27 vs offered: 1.46 | Home leading 1:0 | Second half (71') | T4
00:01:32	LIVE 31''	LIVE	Real Cundinamarca vs Leones	1 (Real Cundinamarca)	1.27	1.09	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 92% vs market: 79% | Fair: 1.09 vs offered: 1.27 | Home leading 1:0 | Mid-game (31') | T3
00:04:14	LIVE 73''	LIVE	Velo Clube vs Bragantino	X (Draw)	1.79	1.57	+14.0%	T4	75%	68.3	0:0	LIVE_VALUE	Edge: +14.0% | Model: 64% vs market: 56% | Fair: 1.57 vs offered: 1.79 | Drawing 0:0 | Second half (73') | T4
00:04:14	LIVE 73''	LIVE	Capivariano vs Mirassol	1 (Capivariano)	1.42	1.25	+13.7%	T4	75%	67.7	1:0	LIVE_VALUE	Edge: +13.7% | Model: 80% vs market: 70% | Fair: 1.25 vs offered: 1.42 | Home leading 1:0 | Second half (73') | T4
00:04:14	LIVE 34''	LIVE	Real Cundinamarca vs Leones	1 (Real Cundinamarca)	1.26	1.09	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 92% vs market: 79% | Fair: 1.09 vs offered: 1.26 | Home leading 1:0 | Mid-game (34') | T3
00:07:07	LIVE 46''	LIVE	Cobreloa vs Antofagasta	1 (Cobreloa)	2.15	1.78	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 56% vs market: 47% | Fair: 1.78 vs offered: 2.15 | Home value in draw | Mid-game (46') | T3
00:07:07	LIVE 37''	LIVE	Real Cundinamarca vs Leones	1 (Real Cundinamarca)	1.26	1.09	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 92% vs market: 79% | Fair: 1.09 vs offered: 1.26 | Home leading 1:0 | Mid-game (37') | T3
00:09:48	LIVE 49''	LIVE	Cobreloa vs Antofagasta	1 (Cobreloa)	2.19	1.84	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 54% vs market: 46% | Fair: 1.84 vs offered: 2.19 | Home value in draw | Mid-game (49') | T3
00:09:48	LIVE 39''	LIVE	Real Cundinamarca vs Leones	1 (Real Cundinamarca)	1.26	1.09	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 92% vs market: 79% | Fair: 1.09 vs offered: 1.26 | Home leading 1:0 | Mid-game (39') | T3
