captured_at	kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	edge	fair_odds	kelly	reason
00:06:33	00:15	8	STEAM	UPNFM vs Olimpia	1 (UPNFM)	3.88	65%	-6.3%	4.14				Steam move: odds dropped -6.3% | Sustained odds drop: 4.14 → 3.88 (-6.3%) | Only 8 min to kick-off — late data is more reliable | 24 snapshots — robust data
00:22:39	00:30	7	STEAM	Sao Paulo vs Primavera	1 (Sao Paulo)	1.34	80%	-7.6%	1.45				Steam move: odds dropped -7.6% | Sustained odds drop: 1.45 → 1.34 (-7.6%) | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 30 snapshots — robust data
00:22:39	00:30	7	STEAM	2 de Mayo vs Cerro Porteno	1 (2 de Mayo)	6.75	80%	-12.9%	7.75				Steam move: odds dropped -12.9% | Sustained odds drop: 7.75 → 6.75 (-12.9%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 30 snapshots — robust data
00:22:39	00:30	7	LATE_SHARP	Monagas vs Universidad Central	1 (Monagas)	2.42	65%	-4.7%	2.54				Late sharp move detected on 1 | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 30 snapshots — robust data
00:22:39	00:30	7	MIXED	Aurora vs Universitario de Vinto	1 (Aurora)	2.33	30%	-4.5%	2.44				Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 30 snapshots — robust data
00:52:51	01:00	7	STEAM	Volta Redonda vs Madureira	2 (Madureira)	4.21	80%	-7.1%	4.53				Steam move: odds dropped -7.1% | Sustained odds drop: 4.53 → 4.21 (-7.1%) | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 45 snapshots — robust data
00:52:51	01:00	7	STEAM	Managua FC vs Esteli	2 (Esteli)	2.23	80%	-11.9%	2.53				Steam move: odds dropped -11.9% | Sustained odds drop: 2.53 → 2.23 (-11.9%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 45 snapshots — robust data
00:52:51	01:00	7	MIXED	Barcelona SC (Ecu) vs Inter Miami (Usa)	2 (Inter Miami (Usa))	1.95	30%	-3.5%	2.02				Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 45 snapshots — robust data
01:24:18	01:30	6	MIXED	LDU Quito (Ecu) vs Always Ready (Bol)	1 (LDU Quito (Ecu))	1.34	30%	-2.2%	1.37				Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 55 snapshots — robust data
01:52:01	02:00	8	MIXED	Jaiba Brava vs Irapuato	1 (Jaiba Brava)	1.89	30%	-4.5%	1.98				Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 64 snapshots — robust data
