captured_at	kick_off	min_to_ko	match	bet	odds	opening	drop_pct	snapshots	confidence	score	market_consensus	type	reason
15:53:38	16:00	6	Scunthorpe vs Southend	1 (Scunthorpe)	2.00	2.51	-20.3%	76	95%	88.4	DA	STEAM	Steam move: odds dropped -20.3% | Sustained odds drop: 2.51 → 2.00 (-20.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 76 snapshots — robust data
13:53:18	14:00	7	Wiener Viktoria (Aut) vs Dietach (Aut)	2 (Dietach (Aut))	2.46	3.08	-20.1%	42	95%	83.6	DA	STEAM	Steam move: odds dropped -20.1% | Sustained odds drop: 3.08 → 2.46 (-20.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	MSP Batna vs CA Batna	2 (CA Batna)	2.04	2.48	-17.7%	42	95%	79.8	DA	STEAM	Steam move: odds dropped -17.7% | Sustained odds drop: 2.48 → 2.04 (-17.7%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	Garage Express vs Olympic S.	1 (Garage Express)	5.20	6.20	-16.1%	42	95%	77.2	DA	STEAM	Steam move: odds dropped -16.1% | Sustained odds drop: 6.20 → 5.20 (-16.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	GC Mascara vs El Biar	2 (El Biar)	1.82	2.16	-15.7%	42	95%	76.6	DA	STEAM	Steam move: odds dropped -15.7% | Sustained odds drop: 2.16 → 1.82 (-15.7%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	Slask Wroclaw II (Pol) vs Slavia Prague B (Cze)	X (Draw)	3.97	5.26	-24.5%	42	80%	76.2	NE	STEAM	Steam move: odds dropped -24.5% | Sustained odds drop: 5.26 → 3.97 (-24.5%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
14:21:08	14:30	9	Rukh Lviv (Ukr) vs Rudes (Cro)	1 (Rukh Lviv (Ukr))	2.26	2.88	-21.5%	51	80%	72.7	NE	STEAM	Steam move: odds dropped -21.5% | Sustained odds drop: 2.88 → 2.26 (-21.5%) | Strong drop >8% | Only 9 min to kick-off — late data is more reliable | 51 snapshots — robust data
13:53:18	14:00	7	Ath Bilbao B vs Tenerife	1 (Ath Bilbao B)	3.35	4.27	-21.6%	42	80%	71.5	NE	STEAM	Steam move: odds dropped -21.6% | Sustained odds drop: 4.27 → 3.35 (-21.6%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
15:22:17	15:30	8	Al Khaboora vs Dhofar	X (Draw)	2.44	2.72	-10.3%	68	95%	71.5	DA	STEAM	Steam move: odds dropped -10.3% | Sustained odds drop: 2.72 → 2.44 (-10.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 68 snapshots — robust data
15:53:38	16:00	6	Aveley vs Dulwich Hamlet	X (Draw)	3.35	3.70	-9.5%	76	95%	71.1	DA	STEAM	Steam move: odds dropped -9.5% | Sustained odds drop: 3.70 → 3.35 (-9.5%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 76 snapshots — robust data
