kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	edge	fair_odds	kelly	reason
19:00	366	STEAM	CFR Cluj vs FC Rapid Bucuresti	2 (FC Rapid Bucuresti)	3.04	85%	-10.1%	3.38				Steam move: odds dropped -10.1% | Sustained odds drop: 3.38 → 3.04 (-10.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
19:00	366	STEAM	CFR Cluj vs FC Rapid Bucuresti	2 (FC Rapid Bucuresti)	3.04	85%	-10.1%	3.38				Steam move: odds dropped -10.1% | Sustained odds drop: 3.38 → 3.04 (-10.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
19:00	366	STEAM	Sampdoria vs Palermo	2 (Palermo)	2.25	70%	-11.1%	2.53				Steam move: odds dropped -11.1% | Sustained odds drop: 2.53 → 2.25 (-11.1%) | Strong drop >8% | 1317 snapshots — robust data
19:00	366	STEAM	CSC Dumbravita vs FC Arges	2 (FC Arges)	1.23	70%	-8.2%	1.34				Steam move: odds dropped -8.2% | Sustained odds drop: 1.34 → 1.23 (-8.2%) | Strong drop >8% | 1271 snapshots — robust data
19:00	366	STEAM	Zamalek vs Smouha	1 (Zamalek)	2.15	70%	-7.3%	2.32				Steam move: odds dropped -7.3% | Sustained odds drop: 2.32 → 2.15 (-7.3%) | Other outcomes rising while this drops — market consensus | 321 snapshots — robust data
19:00	366	STEAM	Al Masry vs Wadi Degla	2 (Wadi Degla)	3.56	70%	-13.8%	4.13				Steam move: odds dropped -13.8% | Sustained odds drop: 4.13 → 3.56 (-13.8%) | Strong drop >8% | 321 snapshots — robust data
19:00	366	STEAM	Sporting Liesti vs Csikszereda M. Ciuc	1 (Sporting Liesti)	7.61	70%	-13.0%	8.75				Steam move: odds dropped -13.0% | Sustained odds drop: 8.75 → 7.61 (-13.0%) | Strong drop >8% | 318 snapshots — robust data
19:00	366	STEAM	Sampdoria vs Palermo	2 (Palermo)	2.25	70%	-11.1%	2.53				Steam move: odds dropped -11.1% | Sustained odds drop: 2.53 → 2.25 (-11.1%) | Strong drop >8% | 1317 snapshots — robust data
19:00	366	STEAM	CSC Dumbravita vs FC Arges	2 (FC Arges)	1.23	70%	-8.2%	1.34				Steam move: odds dropped -8.2% | Sustained odds drop: 1.34 → 1.23 (-8.2%) | Strong drop >8% | 1271 snapshots — robust data
19:00	366	SUSTAINED_DROP	CSC Dumbravita vs FC Arges	X (Draw)	5.37	25%	-7.9%	5.83				Sustained odds drop: 5.83 → 5.37 (-7.9%) | 1271 snapshots — robust data
19:00	366	SUSTAINED_DROP	CSC Dumbravita vs FC Arges	X (Draw)	5.37	25%	-7.9%	5.83				Sustained odds drop: 5.83 → 5.37 (-7.9%) | 1271 snapshots — robust data
19:15	381	STEAM	Al Ittihad (Sau) vs Al-Gharafa (Qat)	2 (Al-Gharafa (Qat))	8.36	70%	-31.8%	12.25				Steam move: odds dropped -31.8% | Sustained odds drop: 12.25 → 8.36 (-31.8%) | Strong drop >8% | 1317 snapshots — robust data
19:15	381	STEAM	Al Ittihad (Sau) vs Al-Gharafa (Qat)	2 (Al-Gharafa (Qat))	8.36	70%	-31.8%	12.25				Steam move: odds dropped -31.8% | Sustained odds drop: 12.25 → 8.36 (-31.8%) | Strong drop >8% | 1317 snapshots — robust data
19:15	381	SUSTAINED_DROP	Al Ittihad (Sau) vs Al-Gharafa (Qat)	X (Draw)	5.62	40%	-20.4%	7.06				Sustained odds drop: 7.06 → 5.62 (-20.4%) | Strong drop >8% | 1317 snapshots — robust data
19:15	381	SUSTAINED_DROP	Al Ittihad (Sau) vs Al-Gharafa (Qat)	X (Draw)	5.62	40%	-20.4%	7.06				Sustained odds drop: 7.06 → 5.62 (-20.4%) | Strong drop >8% | 1317 snapshots — robust data
20:00	426	STEAM	Wolves U21 vs Monaco II	2 (Monaco II)	1.65	85%	-23.6%	2.16				Steam move: odds dropped -23.6% | Sustained odds drop: 2.16 → 1.65 (-23.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
20:00	426	STEAM	Wolves U21 vs Monaco II	2 (Monaco II)	1.65	85%	-23.6%	2.16				Steam move: odds dropped -23.6% | Sustained odds drop: 2.16 → 1.65 (-23.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
20:00	426	STEAM	Venezia vs Modena	1 (Venezia)	1.77	70%	-6.3%	1.89				Steam move: odds dropped -6.3% | Sustained odds drop: 1.89 → 1.77 (-6.3%) | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
20:00	426	STEAM	Paks vs DVTK	X (Draw)	3.95	70%	-12.2%	4.50				Steam move: odds dropped -12.2% | Sustained odds drop: 4.50 → 3.95 (-12.2%) | Strong drop >8% | 443 snapshots — robust data
20:00	426	STEAM	Bari vs Spezia	2 (Spezia)	2.47	70%	-6.4%	2.64				Steam move: odds dropped -6.4% | Sustained odds drop: 2.64 → 2.47 (-6.4%) | Other outcomes rising while this drops — market consensus | 321 snapshots — robust data
20:00	426	STEAM	Venezia vs Modena	1 (Venezia)	1.77	70%	-6.3%	1.89				Steam move: odds dropped -6.3% | Sustained odds drop: 1.89 → 1.77 (-6.3%) | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
20:00	426	STEAM	Port Vale vs Stockport County	2 (Stockport County)	2.38	55%	-5.6%	2.52				Steam move: odds dropped -5.6% | Sustained odds drop: 2.52 → 2.38 (-5.6%) | 1313 snapshots — robust data
20:00	426	STEAM	Avellino vs Frosinone	2 (Frosinone)	2.26	55%	-5.4%	2.39				Steam move: odds dropped -5.4% | Sustained odds drop: 2.39 → 2.26 (-5.4%) | 321 snapshots — robust data
20:00	426	STEAM	Port Vale vs Stockport County	2 (Stockport County)	2.38	55%	-5.6%	2.52				Steam move: odds dropped -5.6% | Sustained odds drop: 2.52 → 2.38 (-5.6%) | 1313 snapshots — robust data
20:00	426	SUSTAINED_DROP	Avellino vs Frosinone	X (Draw)	3.13	25%	-7.9%	3.40				Sustained odds drop: 3.40 → 3.13 (-7.9%) | 321 snapshots — robust data
20:30	456	STEAM	Tottenham vs Newcastle	2 (Newcastle)	2.12	85%	-12.0%	2.41				Steam move: odds dropped -12.0% | Sustained odds drop: 2.41 → 2.12 (-12.0%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1316 snapshots — robust data
20:30	456	STEAM	Caravaca vs Santa Cruz	X (Draw)	2.85	85%	-8.4%	3.11				Steam move: odds dropped -8.4% | Sustained odds drop: 3.11 → 2.85 (-8.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1676 snapshots — robust data
20:30	456	STEAM	Luzern vs Grasshoppers	1 (Luzern)	1.80	85%	-10.9%	2.02				Steam move: odds dropped -10.9% | Sustained odds drop: 2.02 → 1.80 (-10.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1316 snapshots — robust data
20:30	456	STEAM	Tottenham vs Newcastle	2 (Newcastle)	2.12	85%	-12.0%	2.41				Steam move: odds dropped -12.0% | Sustained odds drop: 2.41 → 2.12 (-12.0%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1316 snapshots — robust data
20:30	456	STEAM	Caravaca vs Santa Cruz	X (Draw)	2.85	85%	-8.4%	3.11				Steam move: odds dropped -8.4% | Sustained odds drop: 3.11 → 2.85 (-8.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1676 snapshots — robust data
20:30	456	STEAM	Luzern vs Grasshoppers	1 (Luzern)	1.80	85%	-10.9%	2.02				Steam move: odds dropped -10.9% | Sustained odds drop: 2.02 → 1.80 (-10.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1316 snapshots — robust data
20:30	456	STEAM	Foggia vs Picerno	1 (Foggia)	2.14	70%	-14.1%	2.49				Steam move: odds dropped -14.1% | Sustained odds drop: 2.49 → 2.14 (-14.1%) | Strong drop >8% | 1316 snapshots — robust data
20:30	456	STEAM	Salernitana vs Casarano	2 (Casarano)	5.95	70%	-9.3%	6.56				Steam move: odds dropped -9.3% | Sustained odds drop: 6.56 → 5.95 (-9.3%) | Strong drop >8% | 1316 snapshots — robust data
20:30	456	STEAM	Casertana vs Crotone	2 (Crotone)	2.88	70%	-11.9%	3.27				Steam move: odds dropped -11.9% | Sustained odds drop: 3.27 → 2.88 (-11.9%) | Strong drop >8% | 1316 snapshots — robust data
20:30	456	STEAM	Cosenza vs Siracusa	2 (Siracusa)	4.39	70%	-16.9%	5.28				Steam move: odds dropped -16.9% | Sustained odds drop: 5.28 → 4.39 (-16.9%) | Strong drop >8% | 1316 snapshots — robust data
20:30	456	STEAM	Royale Union SG vs Charleroi	2 (Charleroi)	5.35	70%	-32.6%	7.94				Steam move: odds dropped -32.6% | Sustained odds drop: 7.94 → 5.35 (-32.6%) | Strong drop >8% | 321 snapshots — robust data
20:30	456	STEAM	Velez Mostar vs Siroki Brijeg	2 (Siroki Brijeg)	4.33	70%	-6.3%	4.62				Steam move: odds dropped -6.3% | Sustained odds drop: 4.62 → 4.33 (-6.3%) | Other outcomes rising while this drops — market consensus | 213 snapshots — robust data
20:30	456	STEAM	Pro Patria vs Cittadella	2 (Cittadella)	1.84	70%	-6.6%	1.97				Steam move: odds dropped -6.6% | Sustained odds drop: 1.97 → 1.84 (-6.6%) | Other outcomes rising while this drops — market consensus | 318 snapshots — robust data
20:30	456	STEAM	Brescia vs Virtus Verona	2 (Virtus Verona)	7.03	70%	-8.7%	7.70				Steam move: odds dropped -8.7% | Sustained odds drop: 7.70 → 7.03 (-8.7%) | Strong drop >8% | 318 snapshots — robust data
20:30	456	STEAM	St. Gallen vs Young Boys	1 (St. Gallen)	2.33	70%	-9.0%	2.56				Steam move: odds dropped -9.0% | Sustained odds drop: 2.56 → 2.33 (-9.0%) | Strong drop >8% | 321 snapshots — robust data
20:30	456	STEAM	Lugano vs Servette	X (Draw)	3.17	70%	-11.9%	3.60				Steam move: odds dropped -11.9% | Sustained odds drop: 3.60 → 3.17 (-11.9%) | Strong drop >8% | 321 snapshots — robust data
20:30	456	STEAM	Foggia vs Picerno	1 (Foggia)	2.14	70%	-14.1%	2.49				Steam move: odds dropped -14.1% | Sustained odds drop: 2.49 → 2.14 (-14.1%) | Strong drop >8% | 1316 snapshots — robust data
20:30	456	STEAM	Salernitana vs Casarano	2 (Casarano)	5.95	70%	-9.3%	6.56				Steam move: odds dropped -9.3% | Sustained odds drop: 6.56 → 5.95 (-9.3%) | Strong drop >8% | 1316 snapshots — robust data
20:30	456	STEAM	Casertana vs Crotone	2 (Crotone)	2.88	70%	-11.9%	3.27				Steam move: odds dropped -11.9% | Sustained odds drop: 3.27 → 2.88 (-11.9%) | Strong drop >8% | 1316 snapshots — robust data
20:30	456	STEAM	Cosenza vs Siracusa	2 (Siracusa)	4.39	70%	-16.9%	5.28				Steam move: odds dropped -16.9% | Sustained odds drop: 5.28 → 4.39 (-16.9%) | Strong drop >8% | 1316 snapshots — robust data
20:30	456	SUSTAINED_DROP	Salernitana vs Casarano	X (Draw)	3.86	40%	-11.1%	4.34				Sustained odds drop: 4.34 → 3.86 (-11.1%) | Strong drop >8% | 1316 snapshots — robust data
20:30	456	SUSTAINED_DROP	Casertana vs Crotone	X (Draw)	2.74	40%	-12.2%	3.12				Sustained odds drop: 3.12 → 2.74 (-12.2%) | Strong drop >8% | 1316 snapshots — robust data
20:30	456	SUSTAINED_DROP	Cosenza vs Siracusa	X (Draw)	3.36	40%	-13.2%	3.87				Sustained odds drop: 3.87 → 3.36 (-13.2%) | Strong drop >8% | 1316 snapshots — robust data
20:30	456	SUSTAINED_DROP	Royale Union SG vs Charleroi	X (Draw)	3.86	40%	-10.4%	4.31				Sustained odds drop: 4.31 → 3.86 (-10.4%) | Strong drop >8% | 321 snapshots — robust data
20:30	456	SUSTAINED_DROP	Salernitana vs Casarano	X (Draw)	3.86	40%	-11.1%	4.34				Sustained odds drop: 4.34 → 3.86 (-11.1%) | Strong drop >8% | 1316 snapshots — robust data
20:30	456	SUSTAINED_DROP	Casertana vs Crotone	X (Draw)	2.74	40%	-12.2%	3.12				Sustained odds drop: 3.12 → 2.74 (-12.2%) | Strong drop >8% | 1316 snapshots — robust data
20:30	456	SUSTAINED_DROP	Cosenza vs Siracusa	X (Draw)	3.36	40%	-13.2%	3.87				Sustained odds drop: 3.87 → 3.36 (-13.2%) | Strong drop >8% | 1316 snapshots — robust data
20:45	471	STEAM	Canvey vs Chatham	2 (Chatham)	1.45	85%	-9.9%	1.61				Steam move: odds dropped -9.9% | Sustained odds drop: 1.61 → 1.45 (-9.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1315 snapshots — robust data
20:45	471	STEAM	Whitehawk vs Cheshunt	1 (Whitehawk)	2.01	85%	-11.8%	2.28				Steam move: odds dropped -11.8% | Sustained odds drop: 2.28 → 2.01 (-11.8%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1315 snapshots — robust data
20:45	471	STEAM	Chertsey vs Dorchester	1 (Chertsey)	1.91	85%	-8.6%	2.09				Steam move: odds dropped -8.6% | Sustained odds drop: 2.09 → 1.91 (-8.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1170 snapshots — robust data
20:45	471	STEAM	Annan vs Dumbarton	2 (Dumbarton)	3.40	85%	-8.8%	3.73				Steam move: odds dropped -8.8% | Sustained odds drop: 3.73 → 3.40 (-8.8%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1138 snapshots — robust data
20:45	471	STEAM	Canvey vs Chatham	2 (Chatham)	1.45	85%	-9.9%	1.61				Steam move: odds dropped -9.9% | Sustained odds drop: 1.61 → 1.45 (-9.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1315 snapshots — robust data
20:45	471	STEAM	Whitehawk vs Cheshunt	1 (Whitehawk)	2.01	85%	-11.8%	2.28				Steam move: odds dropped -11.8% | Sustained odds drop: 2.28 → 2.01 (-11.8%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1315 snapshots — robust data
20:45	471	STEAM	Chertsey vs Dorchester	1 (Chertsey)	1.91	85%	-8.6%	2.09				Steam move: odds dropped -8.6% | Sustained odds drop: 2.09 → 1.91 (-8.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1170 snapshots — robust data
20:45	471	STEAM	Annan vs Dumbarton	2 (Dumbarton)	3.40	85%	-8.8%	3.73				Steam move: odds dropped -8.8% | Sustained odds drop: 3.73 → 3.40 (-8.8%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1138 snapshots — robust data
20:45	471	STEAM	Wingate & Finchley vs Burgess Hill	1 (Wingate & Finchley)	2.09	70%	-9.1%	2.30				Steam move: odds dropped -9.1% | Sustained odds drop: 2.30 → 2.09 (-9.1%) | Strong drop >8% | 1315 snapshots — robust data
20:45	471	STEAM	Truro vs Woking	1 (Truro)	2.69	70%	-6.9%	2.89				Steam move: odds dropped -6.9% | Sustained odds drop: 2.89 → 2.69 (-6.9%) | Other outcomes rising while this drops — market consensus | 1305 snapshots — robust data
20:45	471	STEAM	Carlisle vs Scunthorpe	2 (Scunthorpe)	2.67	70%	-10.4%	2.98				Steam move: odds dropped -10.4% | Sustained odds drop: 2.98 → 2.67 (-10.4%) | Strong drop >8% | 1304 snapshots — robust data
20:45	471	STEAM	Chester vs Alfreton	2 (Alfreton)	3.84	70%	-14.3%	4.48				Steam move: odds dropped -14.3% | Sustained odds drop: 4.48 → 3.84 (-14.3%) | Strong drop >8% | 1273 snapshots — robust data
20:45	471	STEAM	Chorley vs Southport	2 (Southport)	2.90	70%	-25.6%	3.90				Steam move: odds dropped -25.6% | Sustained odds drop: 3.90 → 2.90 (-25.6%) | Strong drop >8% | 1273 snapshots — robust data
20:45	471	STEAM	Darlington vs Radcliffe	2 (Radcliffe)	2.70	70%	-7.5%	2.92				Steam move: odds dropped -7.5% | Sustained odds drop: 2.92 → 2.70 (-7.5%) | Other outcomes rising while this drops — market consensus | 1274 snapshots — robust data
20:45	471	STEAM	Horsham FC vs Dag & Red	2 (Dag & Red)	2.60	70%	-7.5%	2.81				Steam move: odds dropped -7.5% | Sustained odds drop: 2.81 → 2.60 (-7.5%) | Other outcomes rising while this drops — market consensus | 1179 snapshots — robust data
20:45	471	STEAM	Lancaster vs Rushall	1 (Lancaster)	1.84	70%	-6.6%	1.97				Steam move: odds dropped -6.6% | Sustained odds drop: 1.97 → 1.84 (-6.6%) | Other outcomes rising while this drops — market consensus | 1183 snapshots — robust data
20:45	471	STEAM	Stockton vs Prescot	2 (Prescot)	3.26	70%	-14.7%	3.82				Steam move: odds dropped -14.7% | Sustained odds drop: 3.82 → 3.26 (-14.7%) | Strong drop >8% | 1180 snapshots — robust data
20:45	471	STEAM	Bishop's Stortford vs Harborough	2 (Harborough)	1.66	70%	-7.8%	1.80				Steam move: odds dropped -7.8% | Sustained odds drop: 1.80 → 1.66 (-7.8%) | Other outcomes rising while this drops — market consensus | 1171 snapshots — robust data
20:45	471	STEAM	Yate Town vs Poole	X (Draw)	3.41	70%	-8.6%	3.73				Steam move: odds dropped -8.6% | Sustained odds drop: 3.73 → 3.41 (-8.6%) | Strong drop >8% | 1171 snapshots — robust data
20:45	471	STEAM	Hertha Berlin vs Freiburg	1 (Hertha Berlin)	3.02	70%	-8.2%	3.29				Steam move: odds dropped -8.2% | Sustained odds drop: 3.29 → 3.02 (-8.2%) | Strong drop >8% | 1169 snapshots — robust data
20:45	471	STEAM	Linfield vs Dungannon	1 (Linfield)	1.41	70%	-5.4%	1.49				Steam move: odds dropped -5.4% | Sustained odds drop: 1.49 → 1.41 (-5.4%) | Other outcomes rising while this drops — market consensus | 1157 snapshots — robust data
20:45	471	STEAM	St Johnstone vs Ayr	2 (Ayr)	4.31	70%	-21.9%	5.52				Steam move: odds dropped -21.9% | Sustained odds drop: 5.52 → 4.31 (-21.9%) | Strong drop >8% | 1268 snapshots — robust data
20:45	471	STEAM	Flint Mountain vs Buckley	2 (Buckley)	2.19	70%	-8.8%	2.40				Steam move: odds dropped -8.8% | Sustained odds drop: 2.40 → 2.19 (-8.8%) | Strong drop >8% | 1138 snapshots — robust data
20:45	471	STEAM	Aldershot vs Southend	1 (Aldershot)	3.31	70%	-8.3%	3.61				Steam move: odds dropped -8.3% | Sustained odds drop: 3.61 → 3.31 (-8.3%) | Strong drop >8% | 321 snapshots — robust data
20:45	471	STEAM	Wingate & Finchley vs Burgess Hill	1 (Wingate & Finchley)	2.09	70%	-9.1%	2.30				Steam move: odds dropped -9.1% | Sustained odds drop: 2.30 → 2.09 (-9.1%) | Strong drop >8% | 1315 snapshots — robust data
20:45	471	STEAM	Truro vs Woking	1 (Truro)	2.69	70%	-6.9%	2.89				Steam move: odds dropped -6.9% | Sustained odds drop: 2.89 → 2.69 (-6.9%) | Other outcomes rising while this drops — market consensus | 1305 snapshots — robust data
20:45	471	STEAM	Carlisle vs Scunthorpe	2 (Scunthorpe)	2.67	70%	-10.4%	2.98				Steam move: odds dropped -10.4% | Sustained odds drop: 2.98 → 2.67 (-10.4%) | Strong drop >8% | 1304 snapshots — robust data
20:45	471	STEAM	Chester vs Alfreton	2 (Alfreton)	3.84	70%	-14.3%	4.48				Steam move: odds dropped -14.3% | Sustained odds drop: 4.48 → 3.84 (-14.3%) | Strong drop >8% | 1273 snapshots — robust data
20:45	471	STEAM	Chorley vs Southport	2 (Southport)	2.90	70%	-25.6%	3.90				Steam move: odds dropped -25.6% | Sustained odds drop: 3.90 → 2.90 (-25.6%) | Strong drop >8% | 1273 snapshots — robust data
20:45	471	STEAM	Darlington vs Radcliffe	2 (Radcliffe)	2.70	70%	-7.5%	2.92				Steam move: odds dropped -7.5% | Sustained odds drop: 2.92 → 2.70 (-7.5%) | Other outcomes rising while this drops — market consensus | 1274 snapshots — robust data
20:45	471	STEAM	Horsham FC vs Dag & Red	2 (Dag & Red)	2.60	70%	-7.5%	2.81				Steam move: odds dropped -7.5% | Sustained odds drop: 2.81 → 2.60 (-7.5%) | Other outcomes rising while this drops — market consensus | 1179 snapshots — robust data
20:45	471	STEAM	Lancaster vs Rushall	1 (Lancaster)	1.84	70%	-6.6%	1.97				Steam move: odds dropped -6.6% | Sustained odds drop: 1.97 → 1.84 (-6.6%) | Other outcomes rising while this drops — market consensus | 1183 snapshots — robust data
20:45	471	STEAM	Stockton vs Prescot	2 (Prescot)	3.26	70%	-14.7%	3.82				Steam move: odds dropped -14.7% | Sustained odds drop: 3.82 → 3.26 (-14.7%) | Strong drop >8% | 1180 snapshots — robust data
20:45	471	STEAM	Bishop's Stortford vs Harborough	2 (Harborough)	1.66	70%	-7.8%	1.80				Steam move: odds dropped -7.8% | Sustained odds drop: 1.80 → 1.66 (-7.8%) | Other outcomes rising while this drops — market consensus | 1171 snapshots — robust data
20:45	471	STEAM	Yate Town vs Poole	X (Draw)	3.41	70%	-8.6%	3.73				Steam move: odds dropped -8.6% | Sustained odds drop: 3.73 → 3.41 (-8.6%) | Strong drop >8% | 1171 snapshots — robust data
20:45	471	STEAM	Hertha Berlin vs Freiburg	1 (Hertha Berlin)	3.02	70%	-8.2%	3.29				Steam move: odds dropped -8.2% | Sustained odds drop: 3.29 → 3.02 (-8.2%) | Strong drop >8% | 1169 snapshots — robust data
20:45	471	STEAM	Linfield vs Dungannon	1 (Linfield)	1.41	70%	-5.4%	1.49				Steam move: odds dropped -5.4% | Sustained odds drop: 1.49 → 1.41 (-5.4%) | Other outcomes rising while this drops — market consensus | 1157 snapshots — robust data
20:45	471	STEAM	St Johnstone vs Ayr	2 (Ayr)	4.31	70%	-21.9%	5.52				Steam move: odds dropped -21.9% | Sustained odds drop: 5.52 → 4.31 (-21.9%) | Strong drop >8% | 1268 snapshots — robust data
20:45	471	STEAM	Flint Mountain vs Buckley	2 (Buckley)	2.19	70%	-8.8%	2.40				Steam move: odds dropped -8.8% | Sustained odds drop: 2.40 → 2.19 (-8.8%) | Strong drop >8% | 1138 snapshots — robust data
20:45	471	STEAM	Lewes vs Billericay	1 (Lewes)	3.87	55%	-6.8%	4.15				Steam move: odds dropped -6.8% | Sustained odds drop: 4.15 → 3.87 (-6.8%) | 1315 snapshots — robust data
20:45	471	STEAM	Crawley vs Cambridge Utd	1 (Crawley)	3.20	55%	-5.0%	3.37				Steam move: odds dropped -5.0% | Sustained odds drop: 3.37 → 3.20 (-5.0%) | 1308 snapshots — robust data
20:45	471	STEAM	Macclesfield vs Leamington	X (Draw)	4.52	55%	-6.0%	4.81				Steam move: odds dropped -6.0% | Sustained odds drop: 4.81 → 4.52 (-6.0%) | 1260 snapshots — robust data
20:45	471	STEAM	AFC Totton vs Bath	2 (Bath)	2.72	55%	-5.6%	2.88				Steam move: odds dropped -5.6% | Sustained odds drop: 2.88 → 2.72 (-5.6%) | 1258 snapshots — robust data
20:45	471	STEAM	Eastbourne Boro vs Maidstone	2 (Maidstone)	2.18	55%	-5.6%	2.31				Steam move: odds dropped -5.6% | Sustained odds drop: 2.31 → 2.18 (-5.6%) | 1229 snapshots — robust data
20:45	471	STEAM	Hednesford vs Hebburn Town	1 (Hednesford)	1.87	55%	-7.9%	2.03				Steam move: odds dropped -7.9% | Sustained odds drop: 2.03 → 1.87 (-7.9%) | 1182 snapshots — robust data
20:45	471	STEAM	Stratford vs Halesowen	X (Draw)	3.35	55%	-6.7%	3.59				Steam move: odds dropped -6.7% | Sustained odds drop: 3.59 → 3.35 (-6.7%) | 1177 snapshots — robust data
20:45	471	STEAM	Royston vs Bury Town	2 (Bury Town)	2.21	55%	-5.1%	2.33				Steam move: odds dropped -5.1% | Sustained odds drop: 2.33 → 2.21 (-5.1%) | 1171 snapshots — robust data
20:45	471	STEAM	Cliftonville vs Bangor FC	2 (Bangor FC)	4.91	55%	-5.0%	5.17				Steam move: odds dropped -5.0% | Sustained odds drop: 5.17 → 4.91 (-5.0%) | 1161 snapshots — robust data
20:45	471	STEAM	Montrose vs Peterhead	1 (Montrose)	2.25	55%	-7.8%	2.44				Steam move: odds dropped -7.8% | Sustained odds drop: 2.44 → 2.25 (-7.8%) | 1155 snapshots — robust data
20:45	471	STEAM	Lewes vs Billericay	1 (Lewes)	3.87	55%	-6.8%	4.15				Steam move: odds dropped -6.8% | Sustained odds drop: 4.15 → 3.87 (-6.8%) | 1315 snapshots — robust data
20:45	471	STEAM	Crawley vs Cambridge Utd	1 (Crawley)	3.20	55%	-5.0%	3.37				Steam move: odds dropped -5.0% | Sustained odds drop: 3.37 → 3.20 (-5.0%) | 1308 snapshots — robust data
20:45	471	STEAM	Macclesfield vs Leamington	X (Draw)	4.52	55%	-6.0%	4.81				Steam move: odds dropped -6.0% | Sustained odds drop: 4.81 → 4.52 (-6.0%) | 1260 snapshots — robust data
20:45	471	STEAM	AFC Totton vs Bath	2 (Bath)	2.72	55%	-5.6%	2.88				Steam move: odds dropped -5.6% | Sustained odds drop: 2.88 → 2.72 (-5.6%) | 1258 snapshots — robust data
20:45	471	STEAM	Eastbourne Boro vs Maidstone	2 (Maidstone)	2.18	55%	-5.6%	2.31				Steam move: odds dropped -5.6% | Sustained odds drop: 2.31 → 2.18 (-5.6%) | 1229 snapshots — robust data
20:45	471	STEAM	Hednesford vs Hebburn Town	1 (Hednesford)	1.87	55%	-7.9%	2.03				Steam move: odds dropped -7.9% | Sustained odds drop: 2.03 → 1.87 (-7.9%) | 1182 snapshots — robust data
20:45	471	STEAM	Stratford vs Halesowen	X (Draw)	3.35	55%	-6.7%	3.59				Steam move: odds dropped -6.7% | Sustained odds drop: 3.59 → 3.35 (-6.7%) | 1177 snapshots — robust data
20:45	471	STEAM	Royston vs Bury Town	2 (Bury Town)	2.21	55%	-5.1%	2.33				Steam move: odds dropped -5.1% | Sustained odds drop: 2.33 → 2.21 (-5.1%) | 1171 snapshots — robust data
20:45	471	STEAM	Cliftonville vs Bangor FC	2 (Bangor FC)	4.91	55%	-5.0%	5.17				Steam move: odds dropped -5.0% | Sustained odds drop: 5.17 → 4.91 (-5.0%) | 1161 snapshots — robust data
20:45	471	STEAM	Montrose vs Peterhead	1 (Montrose)	2.25	55%	-7.8%	2.44				Steam move: odds dropped -7.8% | Sustained odds drop: 2.44 → 2.25 (-7.8%) | 1155 snapshots — robust data
20:45	471	SUSTAINED_DROP	Stratford vs Halesowen	1 (Stratford)	2.65	40%	-22.1%	3.40				Sustained odds drop: 3.40 → 2.65 (-22.1%) | Strong drop >8% | 1177 snapshots — robust data
20:45	471	SUSTAINED_DROP	Flint Mountain vs Buckley	X (Draw)	3.65	40%	-8.8%	4.00				Sustained odds drop: 4.00 → 3.65 (-8.8%) | Strong drop >8% | 1138 snapshots — robust data
20:45	471	SUSTAINED_DROP	Stratford vs Halesowen	1 (Stratford)	2.65	40%	-22.1%	3.40				Sustained odds drop: 3.40 → 2.65 (-22.1%) | Strong drop >8% | 1177 snapshots — robust data
20:45	471	SUSTAINED_DROP	Flint Mountain vs Buckley	X (Draw)	3.65	40%	-8.8%	4.00				Sustained odds drop: 4.00 → 3.65 (-8.8%) | Strong drop >8% | 1138 snapshots — robust data
20:45	471	SUSTAINED_DROP	Chester vs Alfreton	X (Draw)	3.30	25%	-5.7%	3.50				Sustained odds drop: 3.50 → 3.30 (-5.7%) | 1273 snapshots — robust data
20:45	471	SUSTAINED_DROP	Royston vs Bury Town	X (Draw)	3.31	25%	-6.5%	3.54				Sustained odds drop: 3.54 → 3.31 (-6.5%) | 1171 snapshots — robust data
20:45	471	SUSTAINED_DROP	St Johnstone vs Ayr	X (Draw)	3.61	25%	-7.2%	3.89				Sustained odds drop: 3.89 → 3.61 (-7.2%) | 1268 snapshots — robust data
