captured_at	match_date	days_until	kick_off	match	bet	odds	opening	drop_pct	snapshots	confidence	score	market_consensus	type	stage	reason
07:35:15	2026-02-11	1	17:00	Ludogorets vs Levski Sofia	1 (Ludogorets)	2.04	2.32	-12.1%	203	85%	74.8	DA	STEAM	early	Steam move: -12.1% | Drop: 2.32 → 2.04 (-12.1%) | Strong drop >8% | Market consensus — others rising | 203 snapshots | EARLY
12:45:41	2026-02-12	2	14:30	Lok. Plovdiv vs Botev Plovdiv	2 (Botev Plovdiv)	2.39	3.03	-21.1%	123	70%	74.8	NE	STEAM	early	Steam move: -21.1% | Drop: 3.03 → 2.39 (-21.1%) | Strong drop >8% | 123 snapshots | EARLY
12:45:41	2026-02-14	4	00:30	Palestino vs U. De Chile	1 (Palestino)	3.00	3.80	-21.1%	119	70%	74.7	NE	STEAM	early	Steam move: -21.1% | Drop: 3.80 → 3.00 (-21.1%) | Strong drop >8% | 119 snapshots | EARLY
12:53:35	2026-02-11	1	20:30	Tottenham vs Newcastle	2 (Newcastle)	2.12	2.41	-12.0%	1316	85%	74.7	DA	STEAM	early	Steam move: -12.0% | Drop: 2.41 → 2.12 (-12.0%) | Strong drop >8% | Market consensus — others rising | 1316 snapshots | EARLY
12:45:41	2026-02-13	3	21:00	Cajamarca vs Cusco	2 (Cusco)	2.36	2.68	-11.9%	123	85%	74.6	DA	STEAM	early	Steam move: -11.9% | Drop: 2.68 → 2.36 (-11.9%) | Strong drop >8% | Market consensus — others rising | 123 snapshots | EARLY
12:53:35	2026-02-11	1	20:45	Whitehawk vs Cheshunt	1 (Whitehawk)	2.01	2.28	-11.8%	1315	85%	74.4	DA	STEAM	early	Steam move: -11.8% | Drop: 2.28 → 2.01 (-11.8%) | Strong drop >8% | Market consensus — others rising | 1315 snapshots | EARLY
12:53:35	2026-02-11	1	13:30	KF Tirana vs Dinamo Tirana	1 (KF Tirana)	2.73	3.09	-11.7%	405	85%	74.1	DA	STEAM	early	Steam move: -11.7% | Drop: 3.09 → 2.73 (-11.7%) | Strong drop >8% | Market consensus — others rising | 405 snapshots | EARLY
12:45:41	2026-02-12	2	21:00	Retro vs Sport Recife	2 (Sport Recife)	1.99	2.25	-11.6%	254	85%	74.0	DA	STEAM	early	Steam move: -11.6% | Drop: 2.25 → 1.99 (-11.6%) | Strong drop >8% | Market consensus — others rising | 254 snapshots | EARLY
07:42:27	2026-02-11	1	18:00	Al Qadisiya (Kuw) vs Zakho (Irq)	2 (Zakho (Irq))	3.41	4.27	-20.1%	804	70%	73.2	NE	STEAM	early	Steam move: -20.1% | Drop: 4.27 → 3.41 (-20.1%) | Strong drop >8% | 804 snapshots | EARLY
12:45:41	2026-02-13	3	09:35	WS Wanderers vs Wellington Phoenix	1 (WS Wanderers)	1.45	1.63	-11.0%	123	85%	73.2	DA	STEAM	early	Steam move: -11.0% | Drop: 1.63 → 1.45 (-11.0%) | Strong drop >8% | Market consensus — others rising | 123 snapshots | EARLY
12:45:41	2026-02-14	4	23:45	Talleres Cordoba vs Gimnasia Mendoza	1 (Talleres Cordoba)	1.79	2.01	-10.9%	122	85%	73.0	DA	STEAM	early	Steam move: -10.9% | Drop: 2.01 → 1.79 (-10.9%) | Strong drop >8% | Market consensus — others rising | 122 snapshots | EARLY
12:53:35	2026-02-11	1	20:30	Luzern vs Grasshoppers	1 (Luzern)	1.80	2.02	-10.9%	1316	85%	72.9	DA	STEAM	early	Steam move: -10.9% | Drop: 2.02 → 1.80 (-10.9%) | Strong drop >8% | Market consensus — others rising | 1316 snapshots | EARLY
12:45:41	2026-02-12	2	00:15	Deportivo Universitario vs San Francisco	2 (San Francisco)	2.91	3.63	-19.8%	112	70%	72.7	NE	STEAM	early	Steam move: -19.8% | Drop: 3.63 → 2.91 (-19.8%) | Strong drop >8% | 112 snapshots | EARLY
12:53:35	2026-02-11	1	18:45	G.A. Eagles vs Heerenveen	1 (G.A. Eagles)	2.57	2.88	-10.8%	321	85%	72.7	DA	STEAM	early	Steam move: -10.8% | Drop: 2.88 → 2.57 (-10.8%) | Strong drop >8% | Market consensus — others rising | 321 snapshots | EARLY
12:53:35	2026-02-11	1	21:15	Murata vs Juvenes/Dogana	2 (Juvenes/Dogana)	1.43	1.60	-10.6%	1132	85%	72.5	DA	STEAM	early	Steam move: -10.6% | Drop: 1.60 → 1.43 (-10.6%) | Strong drop >8% | Market consensus — others rising | 1132 snapshots | EARLY
12:45:41	2026-02-15	5	12:00	Vitoria Guimaraes B vs Os Belenenses	2 (Os Belenenses)	2.29	2.56	-10.5%	120	85%	72.4	DA	STEAM	early	Steam move: -10.5% | Drop: 2.56 → 2.29 (-10.5%) | Strong drop >8% | Market consensus — others rising | 120 snapshots | EARLY
12:45:41	2026-02-12	2	22:10	Chico vs Jaguares de Cordoba	1 (Chico)	1.99	2.22	-10.4%	114	85%	72.1	DA	STEAM	early	Steam move: -10.4% | Drop: 2.22 → 1.99 (-10.4%) | Strong drop >8% | Market consensus — others rising | 114 snapshots | EARLY
12:45:41	2026-02-15	5	16:00	Amora vs Covilha	1 (Amora)	1.88	2.09	-10.1%	120	85%	71.6	DA	STEAM	early	Steam move: -10.1% | Drop: 2.09 → 1.88 (-10.1%) | Strong drop >8% | Market consensus — others rising | 120 snapshots | EARLY
12:53:35	2026-02-11	1	19:00	CFR Cluj vs FC Rapid Bucuresti	2 (FC Rapid Bucuresti)	3.04	3.38	-10.1%	1317	85%	71.6	DA	STEAM	early	Steam move: -10.1% | Drop: 3.38 → 3.04 (-10.1%) | Strong drop >8% | Market consensus — others rising | 1317 snapshots | EARLY
12:53:35	2026-02-11	1	21:00	Motherwell vs Rangers	2 (Rangers)	2.07	2.30	-10.0%	321	85%	71.5	DA	STEAM	early	Steam move: -10.0% | Drop: 2.30 → 2.07 (-10.0%) | Strong drop >8% | Market consensus — others rising | 321 snapshots | EARLY
