alerted_at;match_key;home;away;kick_off;signal_type;bet;odds;opening_odds;pct_change;confidence;edge;snapshots;stake_model;stake;result;profit;resolved_at;reason
2026-02-08T12:38:49.323243;COD Meknes|Raja Casablanca;COD Meknes;Raja Casablanca;18:00;STEAM;2;1.84;2.18;-0.156;0.85;0.156;173;flat;1.0;;;;Steam move: odds dropped -15.6% | Sustained odds drop: 2.18 → 1.84 (-15.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 173 snapshots — robust data
2026-02-08T12:38:49.325987;Kvik Halden (Nor)|Arendal (Nor);Kvik Halden (Nor);Arendal (Nor);18:00;STEAM;2;1.66;1.9;-0.1263;0.85;0.1263;101;flat;1.0;loss;-1.0;2026-02-08T12:38:50.252023;Steam move: odds dropped -12.6% | Sustained odds drop: 1.90 → 1.66 (-12.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 101 snapshots — robust data
2026-02-08T12:38:49.329312;Rapperswil-Jona|Yverdon;Rapperswil-Jona;Yverdon;18:00;STEAM;1;2.27;2.61;-0.1303;0.85;0.1303;100;flat;1.0;loss;-1.0;2026-02-08T12:38:50.253761;Steam move: odds dropped -13.0% | Sustained odds drop: 2.61 → 2.27 (-13.0%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 100 snapshots — robust data
2026-02-08T12:38:49.333463;Union Touarga|Hassania Agadir;Union Touarga;Hassania Agadir;18:00;STEAM;1;2.03;2.23;-0.0897;0.85;0.0897;100;flat;1.0;loss;-1.0;2026-02-08T12:38:50.254551;Steam move: odds dropped -9.0% | Sustained odds drop: 2.23 → 2.03 (-9.0%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 100 snapshots — robust data
2026-02-08T12:38:49.338024;Club Siero|Gijon B;Club Siero;Gijon B;18:30;STEAM;2;1.37;1.51;-0.0927;0.85;0.0927;96;flat;1.0;win;0.37;2026-02-08T12:38:50.255452;Steam move: odds dropped -9.3% | Sustained odds drop: 1.51 → 1.37 (-9.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 96 snapshots — robust data
2026-02-08T12:38:49.340383;Hercules B|Recambios Colon;Hercules B;Recambios Colon;18:30;STEAM;1;2.08;2.31;-0.0996;0.85;0.0996;95;flat;1.0;win;1.08;2026-02-08T12:38:50.255830;Steam move: odds dropped -10.0% | Sustained odds drop: 2.31 → 2.08 (-10.0%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 95 snapshots — robust data
2026-02-08T12:38:49.342396;Leixoes|Feirense;Leixoes;Feirense;19:00;STEAM;1;2.41;2.63;-0.0837;0.85;0.0837;89;flat;1.0;win;1.41;2026-02-08T12:38:50.256795;Steam move: odds dropped -8.4% | Sustained odds drop: 2.63 → 2.41 (-8.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 89 snapshots — robust data
2026-02-08T12:38:49.362022;Zabbar|Marsaxlokk;Zabbar;Marsaxlokk;19:00;STEAM;2;1.57;1.92;-0.1823;0.85;0.1823;88;flat;1.0;win;0.57;2026-02-08T12:38:50.257129;Steam move: odds dropped -18.2% | Sustained odds drop: 1.92 → 1.57 (-18.2%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 88 snapshots — robust data
2026-02-08T12:38:49.367494;Juazeirense|Bahia;Juazeirense;Bahia;20:00;STEAM;2;1.54;1.72;-0.1047;0.85;0.1047;173;flat;1.0;;;;Steam move: odds dropped -10.5% | Sustained odds drop: 1.72 → 1.54 (-10.5%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 173 snapshots — robust data
2026-02-08T12:38:49.370587;Grasshoppers|Young Boys;Grasshoppers;Young Boys;20:30;STEAM;2;1.79;2.11;-0.1517;0.85;0.1517;79;flat;1.0;loss;-1.0;2026-02-08T12:38:50.263481;Steam move: odds dropped -15.2% | Sustained odds drop: 2.11 → 1.79 (-15.2%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 79 snapshots — robust data
2026-02-08T12:38:49.373222;Universidad O&M|Moca;Universidad O&M;Moca;20:30;STEAM;2;2.27;2.87;-0.2091;0.85;0.2091;80;flat;1.0;loss;-1.0;2026-02-08T12:38:50.263898;Steam move: odds dropped -20.9% | Sustained odds drop: 2.87 → 2.27 (-20.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 80 snapshots — robust data
2026-02-08T12:38:49.375318;Eldense|Sabadell;Eldense;Sabadell;21:00;STEAM;1;2.28;2.76;-0.1739;0.85;0.1739;74;flat;1.0;win;1.28;2026-02-08T12:38:50.265150;Steam move: odds dropped -17.4% | Sustained odds drop: 2.76 → 2.28 (-17.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 74 snapshots — robust data
2026-02-08T12:38:49.377974;Sousa|Atl. Cajazeirense;Sousa;Atl. Cajazeirense;21:00;STEAM;1;1.54;1.73;-0.1098;0.85;0.1098;76;flat;1.0;win;0.54;2026-02-08T12:38:50.265731;Steam move: odds dropped -11.0% | Sustained odds drop: 1.73 → 1.54 (-11.0%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 76 snapshots — robust data
2026-02-08T12:38:49.380983;U. Magdalena|Boca Juniors;U. Magdalena;Boca Juniors;22:00;STEAM;1;1.47;1.61;-0.087;0.85;0.087;42;flat;1.0;;;;Steam move: odds dropped -8.7% | Sustained odds drop: 1.61 → 1.47 (-8.7%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 42 snapshots — robust data
2026-02-08T12:38:49.383611;Vasco|Botafogo RJ;Vasco;Botafogo RJ;22:00;STEAM;1;1.73;2.11;-0.1801;0.85;0.1801;173;flat;1.0;;;;Steam move: odds dropped -18.0% | Sustained odds drop: 2.11 → 1.73 (-18.0%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 173 snapshots — robust data
