match_id;home;away;country;league;kick_off;match_date;market;predicted_outcome;score;signal_type;close_odds;pct_change;breakdown;n_snapshots;open_overround;close_overround;kelly_pct;suggested_eur;est_winprob
Irapuato|Cancun;Irapuato;Cancun;Mexico;Liga de Expansion MX;00:00;2026-03-22;X;DRAW;90;NEGLECT_UP;3.69;1.6528925619834725;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);107;104.2;105.0;6.1;20;0.449
Pachuca|Toluca;Pachuca;Toluca;Mexico;Liga MX;00:00;2026-03-23;1;HOME;90;NEGLECT_UP;3.9;1.0362694300518145;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);112;103.6;103.8;6.5;20;0.449
Santos Laguna|Puebla;Santos Laguna;Puebla;Mexico;Liga MX;00:00;2026-03-23;X;DRAW;90;NEGLECT_UP;3.6;2.85714285714286;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);112;103.8;103.1;5.9;20;0.449
Deportes Tolima|Fortaleza;Deportes Tolima;Fortaleza;Colombia;Primera A;00:20;2026-03-20;X;DRAW;90;NEGLECT_UP;3.6;4.651162790697678;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);108;106.3;105.4;5.9;20;0.449
Atlanta Utd|DC United;Atlanta Utd;DC United;USA;MLS;00:30;2026-03-22;1;HOME;90;NEGLECT_UP;2.0;1.010101010101011;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);107;103.0;102.6;0;20;0.449
Tampa Bay|Pittsburgh;Tampa Bay;Pittsburgh;USA;USL Championship;00:30;2026-03-22;2;AWAY;90;NEGLECT_UP;3.6;2.2727272727272747;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);107;104.6;104.9;5.9;20;0.449
Racing Louisville W|Washington Spirit W;Racing Louisville W;Washington Spirit W;USA;NWSL Women;01:00;2026-03-21;X;DRAW;90;DRIFT_UP;3.47;0.5797101449275368;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;107.7;107.7;5.6;20;0.449
Phoenix Rising|Oakland Roots;Phoenix Rising;Oakland Roots;USA;USL Championship;03:00;2026-03-22;2;AWAY;90;NEGLECT_UP;3.6;2.85714285714286;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);109;106.7;105.8;5.9;20;0.449
Hwaseong|Yongin;Hwaseong;Yongin;South Korea;K League 2;06:00;2026-03-22;X;DRAW;90;NEGLECT_UP;3.64;1.111111111111112;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);51;105.0;105.0;6.0;20;0.449
Seongnam|Asan;Seongnam;Asan;South Korea;K League 2;06:00;2026-03-21;2;AWAY;90;CORRECTION_UP;3.25;0.6191950464396291;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;106.0;105.8;5.1;20;0.449
Pathum United|Ratchaburi;Pathum United;Ratchaburi;Thailand;Thai League 1;12:30;2026-03-22;X;DRAW;90;NEGLECT_UP;3.56;1.7142857142857157;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);109;106.6;106.5;5.8;20;0.449
Middelfart|Hobro;Middelfart;Hobro;Denmark;1st Division;13:00;2026-03-21;1;HOME;90;NEGLECT_UP;3.31;1.8461538461538478;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;105.4;104.7;5.3;20;0.449
Preussen Munster|Magdeburg;Preussen Munster;Magdeburg;Germany;2. Bundesliga;13:30;2026-03-22;1;HOME;90;NEGLECT_UP;2.86;1.4184397163120581;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);109;103.8;102.9;3.8;20;0.449
SC Weiche-08|St. Pauli II;SC Weiche-08;St. Pauli II;Germany;Regionalliga North;13:30;2026-03-21;2;AWAY;90;NEGLECT_UP;3.85;1.0498687664042003;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);22;107.7;108.1;6.4;20;0.449
Guingamp|Reims;Guingamp;Reims;France;Ligue 2;14:00;2026-03-21;1;HOME;90;NEGLECT_UP;2.8;1.449275362318842;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;104.4;104.3;3.6;20;0.449
Ingolstadt|Alemannia Aachen;Ingolstadt;Alemannia Aachen;Germany;3. Liga;14:00;2026-03-21;2;AWAY;90;NEGLECT_UP;2.9;1.7543859649122744;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;105.7;105.4;4.0;20;0.449
Penafiel|Vizela;Penafiel;Vizela;Portugal;Liga Portugal 2;15:00;2026-03-21;2;AWAY;90;NEGLECT_UP;2.28;4.109589041095884;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;106.1;105.9;0.5;20;0.449
Banga|FK Panevezys;Banga;FK Panevezys;Lithuania;TOPLYGA;15:30;2026-03-21;X;DRAW;90;DRIFT_UP;3.38;0.8955223880596956;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);29;107.2;106.3;5.4;20;0.449
Leicester W|Aston Villa W;Leicester W;Aston Villa W;England;WSL;15:45;2026-03-22;X;DRAW;90;NEGLECT_UP;3.6;2.85714285714286;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);109;105.6;105.8;5.9;20;0.449
Caldas|Lusitano GC;Caldas;Lusitano GC;Portugal;Liga 3;16:00;2026-03-22;X;DRAW;90;CORRECTION_UP;2.97;0.6779661016949159;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);109;106.5;106.3;4.2;20;0.449
Ross County|Dunfermline;Ross County;Dunfermline;Scotland;Championship;16:00;2026-03-21;1;HOME;90;NEGLECT_UP;2.47;1.646090534979425;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;106.1;105.7;1.9;20;0.449
Moreirense|Arouca;Moreirense;Arouca;Portugal;Liga Portugal;16:30;2026-03-21;X;DRAW;90;NEGLECT_UP;3.35;2.4464831804281366;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;102.9;102.3;5.4;20;0.449
Young Boys|Lugano;Young Boys;Lugano;Switzerland;Super League;16:30;2026-03-22;2;AWAY;90;NEGLECT_UP;3.7;2.493074792243776;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);109;103.3;103.2;6.1;20;0.449
BW Linz|Ried;BW Linz;Ried;Austria;Bundesliga;17:00;2026-03-21;1;HOME;90;NEGLECT_UP;2.77;1.4652014652014667;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;104.9;104.8;3.4;20;0.449
Brann|Tromso;Brann;Tromso;Norway;Eliteserien;17:00;2026-03-22;X;DRAW;90;NEGLECT_UP;3.7;2.2099447513812174;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);109;104.3;103.3;6.1;20;0.449
Fredrikstad|KFUM Oslo;Fredrikstad;KFUM Oslo;Norway;Eliteserien;17:00;2026-03-22;2;AWAY;90;CORRECTION_UP;3.17;0.9554140127388472;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);109;103.7;103.4;4.9;20;0.449
Tirol|Grazer AK;Tirol;Grazer AK;Austria;Bundesliga;17:00;2026-03-21;1;HOME;90;NEGLECT_UP;2.4;1.6949152542372898;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;104.2;103.8;1.4;20;0.449
Toulouse|Lorient;Toulouse;Lorient;France;Ligue 1;17:00;2026-03-21;X;DRAW;90;NEGLECT_UP;3.35;1.5151515151515234;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;99.1;99.2;5.4;20;0.449
Wolfsberger AC|Altach;Wolfsberger AC;Altach;Austria;Bundesliga;17:00;2026-03-21;1;HOME;90;DRIFT_UP;2.53;0.7968127490039849;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;103.5;103.9;2.2;20;0.449
Paris FC|Le Havre;Paris FC;Le Havre;France;Ligue 1;17:15;2026-03-22;X;DRAW;90;NEGLECT_UP;3.4;3.030303030303033;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);109;99.7;99.4;5.5;20;0.449
Mura|Radomlje;Mura;Radomlje;Slovenia;Prva liga;17:30;2026-03-21;2;AWAY;90;NEGLECT_UP;2.9;2.8368794326241162;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;104.3;104.4;4.0;20;0.449
R. Volgograd|Fakel Voronezh;R. Volgograd;Fakel Voronezh;Russia;FNL;17:30;2026-03-20;2;AWAY;90;NEGLECT_UP;2.26;3.6697247706421847;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);116;104.6;104.6;0.3;20;0.449
Widzew Lodz|Gornik Zabrze;Widzew Lodz;Gornik Zabrze;Poland;Ekstraklasa;17:30;2026-03-22;2;AWAY;90;NEGLECT_UP;3.05;2.3489932885905986;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);109;103.2;103.0;4.5;20;0.449
Artis Brno|Usti nad Labem;Artis Brno;Usti nad Labem;Czech Republic;ChNL;18:00;2026-03-21;X;DRAW;90;NEGLECT_UP;3.9;2.631578947368424;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;109.4;109.3;6.5;20;0.449
Caen|Orleans;Caen;Orleans;France;National;18:00;2026-03-21;1;HOME;90;NEGLECT_UP;2.35;1.2931034482758728;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;105.7;104.9;1.0;20;0.449
Pruszkow|S. Rzeszow;Pruszkow;S. Rzeszow;Poland;Division 1;18:00;2026-03-20;2;AWAY;90;NEGLECT_UP;3.0;1.3513513513513526;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);116;106.8;106.0;4.3;20;0.449
Sandecja Nowy S.|LKS Lodz II;Sandecja Nowy S.;LKS Lodz II;Poland;Division 2;18:00;2026-03-21;X;DRAW;90;NEGLECT_UP;4.0;1.010101010101011;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);63;111.8;112.0;6.6;20;0.449
Schoningen|Lubeck;Schoningen;Lubeck;Germany;Regionalliga North;18:30;2026-03-20;1;HOME;90;CORRECTION_UP;2.52;0.8000000000000007;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);33;108.0;108.9;2.2;20;0.449
St. Liege|Westerlo;St. Liege;Westerlo;Belgium;Jupiler Pro League;18:30;2026-03-22;X;DRAW;90;NEGLECT_UP;3.35;1.5151515151515234;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);109;103.6;102.9;5.4;20;0.449
Waregem|Charleroi;Waregem;Charleroi;Belgium;Jupiler Pro League;18:30;2026-03-22;X;DRAW;90;NEGLECT_UP;3.4;1.4925373134328304;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);109;103.9;103.6;5.5;20;0.449
Resende U20|Boavista U20;Resende U20;Boavista U20;Brazil;Copa Rio U20;19:00;2026-03-18;X;DRAW;90;NEGLECT_UP;3.37;2.12121212121213;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);105;109.9;109.2;5.4;20;0.449
Versailles|Fleury-Merogis;Versailles;Fleury-Merogis;France;National;19:30;2026-03-20;1;HOME;90;CORRECTION_UP;2.2;0.9174311926605512;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);116;106.1;105.5;0;20;0.449
Clermont|Red Star;Clermont;Red Star;France;Ligue 2;20:00;2026-03-20;X;DRAW;90;CORRECTION_UP;3.15;0.9615384615384551;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);116;104.7;103.8;4.8;20;0.449
RB Leipzig|Hoffenheim;RB Leipzig;Hoffenheim;Germany;Bundesliga;20:30;2026-03-20;2;AWAY;90;NEGLECT_UP;3.8;1.6042780748662995;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);116;101.3;101.0;6.3;20;0.449
Sion|St. Gallen;Sion;St. Gallen;Switzerland;Super League;20:30;2026-03-21;1;HOME;90;NEGLECT_UP;2.36;1.2875536480686611;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);93;103.9;103.1;1.1;20;0.449
Virtus Verona|AlbinoLeffe;Virtus Verona;AlbinoLeffe;Italy;Serie C - Group A;20:30;2026-03-20;2;AWAY;90;DRIFT_UP;2.5;0.8064516129032264;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);35;107.1;106.2;2.0;20;0.449
Estrela|Casa Pia;Estrela;Casa Pia;Portugal;Liga Portugal;21:15;2026-03-20;X;DRAW;90;NEGLECT_UP;3.2;1.2658227848101276;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);116;103.1;102.6;5.0;20;0.449
Goias|America MG;Goias;America MG;Brazil;Serie B Superbet;22:00;2026-03-22;X;DRAW;90;NEGLECT_UP;3.5;1.7441860465116297;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);109;104.4;104.1;5.7;20;0.449
