match_id;home;away;country;league;kick_off;match_date;market;predicted_outcome;score;signal_type;close_odds;pct_change;breakdown;n_snapshots;open_overround;close_overround;kelly_pct;suggested_eur;est_winprob
Lexington|Louisville City;Lexington;Louisville City;USA;USL Championship;01:30;2026-03-07;2;AWAY;90;NEGLECT_UP;2.5;2.880658436213985;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);84;106.5;106.5;2.0;20;0.449
Sporting Jax|Hartford Athletic;Sporting Jax;Hartford Athletic;USA;USL Championship;01:30;2026-03-08;X;DRAW;90;NEGLECT_UP;3.59;2.8653295128939726;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);61;107.5;106.5;5.9;20;0.449
Birmingham|Tampa Bay;Birmingham;Tampa Bay;USA;USL Championship;02:00;2026-03-08;X;DRAW;90;NEGLECT_UP;3.73;1.3586956521739082;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);86;106.6;106.1;6.2;20;0.449
Colorado Rapids|Los Angeles Galaxy;Colorado Rapids;Los Angeles Galaxy;USA;MLS;03:30;2026-03-08;1;HOME;90;NEGLECT_UP;2.32;1.7543859649122824;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);86;102.7;102.8;0.8;20;0.449
FC Tokyo|Yokohama F. Marinos;FC Tokyo;Yokohama F. Marinos;Japan;J1 League;06:00;2026-03-07;2;AWAY;90;NEGLECT_UP;3.8;1.8766756032171539;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);84;104.2;103.5;6.3;20;0.449
Gimcheon Sangmu|Jeonbuk;Gimcheon Sangmu;Jeonbuk;South Korea;K League 1;06:00;2026-03-08;1;HOME;90;CORRECTION_UP;2.84;0.7092198581560291;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);86;104.4;104.0;3.7;20;0.449
Avispa Fukuoka|Nagoya Grampus;Avispa Fukuoka;Nagoya Grampus;Japan;J1 League;08:00;2026-03-07;1;HOME;90;NEGLECT_UP;2.9;2.8368794326241162;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);84;104.7;103.7;4.0;20;0.449
Sydney FC|Melbourne Victory;Sydney FC;Melbourne Victory;Australia;A-League;09:35;2026-03-07;1;HOME;90;NEGLECT_UP;2.46;2.0746887966804906;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);84;102.8;102.6;1.8;20;0.449
Seoul (Kor)|Vissel Kobe (Jpn);Seoul (Kor);Vissel Kobe (Jpn);Asia;AFC Champions League;11:00;2026-03-04;1;HOME;90;NEGLECT_UP;3.1;7.638888888888896;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);166;103.8;103.5;4.7;20;0.449
NagaWorld|Visakha;NagaWorld;Visakha;Cambodia;Hun Sen Cup;12:00;2026-03-04;1;HOME;90;NEGLECT_UP;2.24;1.8181818181818195;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);87;109.1;108.9;0.1;20;0.449
Oliveirense|Torreense;Oliveirense;Torreense;Portugal;Liga Portugal 2;12:00;2026-03-07;X;DRAW;90;NEGLECT_UP;3.42;1.1834319526627228;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);84;104.8;104.2;5.5;20;0.449
Tluchowo|Nowe Skalmierzyce;Tluchowo;Nowe Skalmierzyce;Poland;III Liga - Group II;12:00;2026-03-07;2;AWAY;90;NEGLECT_UP;2.56;1.9920318725099708;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);38;112.1;112.0;2.4;20;0.449
Hull|Millwall;Hull;Millwall;England;Championship;13:30;2026-03-07;1;HOME;90;NEGLECT_UP;2.76;3.3707865168539275;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);84;104.5;103.6;3.4;20;0.449
MTK Budapest|DVTK;MTK Budapest;DVTK;Hungary;NB I.;13:30;2026-03-08;X;DRAW;90;NEGLECT_UP;3.79;1.6085790884718514;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);86;105.2;105.9;6.3;20;0.449
Preussen Munster|Hertha Berlin;Preussen Munster;Hertha Berlin;Germany;2. Bundesliga;13:30;2026-03-08;2;AWAY;90;NEGLECT_UP;2.35;1.2931034482758728;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);86;103.5;102.6;1.0;20;0.449
Zaglebie Sosnowiec|Podhale Nowy Targ;Zaglebie Sosnowiec;Podhale Nowy Targ;Poland;Division 2;13:30;2026-03-07;X;DRAW;90;NEGLECT_UP;3.25;1.2461059190031165;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);55;111.9;111.9;5.1;20;0.449
Queen's Park|Airdrieonians;Queen's Park;Airdrieonians;Scotland;Championship;14:00;2026-03-07;X;DRAW;90;CORRECTION_UP;3.32;0.6060606060606066;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);84;105.2;105.1;5.3;20;0.449
Lok. Gorna|Hebar;Lok. Gorna;Hebar;Bulgaria;Vtora liga;14:30;2026-03-07;X;DRAW;90;NEGLECT_UP;3.25;1.5624999999999944;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);63;109.2;108.7;5.1;20;0.449
