match_id;home;away;country;league;kick_off;match_date;market;predicted_outcome;score;signal_type;close_odds;pct_change;breakdown;n_snapshots;open_overround;close_overround;kelly_pct;suggested_eur;est_winprob
Rubio Nu|2 de Mayo;Rubio Nu;2 de Mayo;Paraguay;Copa de Primera;00:30;2026-03-09;2;AWAY;90;NEGLECT_UP;2.95;2.4305555555555656;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);141;106.0;105.2;4.2;20;0.449
Gremio|Bragantino;Gremio;Bragantino;Brazil;Serie A Betano;01:30;2026-03-13;1;HOME;90;CORRECTION_UP;2.05;0.9852216748768483;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);31;100.1;100.2;0;20;0.449
Gamba Osaka|V-Varen Nagasaki;Gamba Osaka;V-Varen Nagasaki;Japan;J1 League;07:00;2026-03-08;1;HOME;90;NEGLECT_UP;2.15;2.3809523809523725;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);138;103.9;103.0;0;20;0.449
Sydney FC|Melbourne Victory;Sydney FC;Melbourne Victory;Australia;A-League;09:35;2026-03-07;X;DRAW;90;NEGLECT_UP;3.8;1.3333333333333286;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);134;103.2;102.5;6.3;20;0.449
Tekstilshtik|Sibir Novosibirsk;Tekstilshtik;Sibir Novosibirsk;Russia;FNL 2 - Division A Gold;12:00;2026-03-08;2;AWAY;90;NEGLECT_UP;3.6;1.4084507042253596;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);54;110.1;109.7;5.9;20;0.449
Dusseldorf II|Rodinghausen;Dusseldorf II;Rodinghausen;Germany;Regionalliga West;14:00;2026-03-07;2;AWAY;90;NEGLECT_UP;2.65;1.1450381679389239;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);134;109.1;108.6;2.9;20;0.449
Greifswald|BFC Dynamo;Greifswald;BFC Dynamo;Germany;Regionalliga Nordost;14:00;2026-03-07;X;DRAW;90;NEGLECT_UP;3.7;1.3698630136986376;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);134;109.0;108.6;6.1;20;0.449
Itapirense|EC Sao Bernardo;Itapirense;EC Sao Bernardo;Brazil;Paulista A3;14:00;2026-03-08;1;HOME;90;CORRECTION_UP;3.17;0.6349206349206356;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);60;110.1;109.9;4.9;20;0.449
Lotte|Siegen;Lotte;Siegen;Germany;Regionalliga West;14:00;2026-03-07;X;DRAW;90;NEGLECT_UP;3.7;1.3698630136986376;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);134;108.4;108.2;6.1;20;0.449
Magdeburg II|Zwickau;Magdeburg II;Zwickau;Germany;Regionalliga Nordost;14:00;2026-03-07;X;DRAW;90;NEGLECT_UP;3.7;2.77777777777778;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);134;109.1;108.5;6.1;20;0.449
