match_id;home;away;country;league;kick_off;match_date;market;predicted_outcome;score;signal_type;close_odds;pct_change;breakdown;n_snapshots;open_overround;close_overround;kelly_pct;suggested_eur;est_winprob
Mirassol|Santos;Mirassol;Santos;Brazil;Serie A Betano;01:30;2026-03-11;1;HOME;90;NEGLECT_UP;2.06;1.4778325123152833;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);120;103.2;102.6;0;20;0.449
Sarmiento Junin|Racing Club;Sarmiento Junin;Racing Club;Argentina;Liga Profesional;02:00;2026-03-11;1;HOME;90;NEGLECT_UP;4.0;2.5641025641025665;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);120;104.0;103.4;6.6;20;0.449
Central Coast Mariners|Adelaide United;Central Coast Mariners;Adelaide United;Australia;A-League;05:00;2026-03-14;1;HOME;90;CORRECTION_UP;3.12;0.6451612903225812;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);33;101.3;101.8;4.7;20;0.449
Nagoya Grampus|Vissel Kobe;Nagoya Grampus;Vissel Kobe;Japan;J1 League;06:00;2026-03-14;2;AWAY;90;CORRECTION_UP;2.25;0.896860986547086;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);20;104.7;103.9;0.2;20;0.449
Gijon Industrial|EI San Martin;Gijon Industrial;EI San Martin;Spain;Tercera RFEF - Group 2;12:00;2026-03-08;X;DRAW;90;CORRECTION_UP;3.13;0.9677419354838646;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);41;109.3;110.1;4.8;20;0.449
Nakhon Si|Sisaket United;Nakhon Si;Sisaket United;Thailand;Thai League 2;12:00;2026-03-08;X;DRAW;90;NEGLECT_UP;3.35;1.5151515151515234;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);27;108.8;108.2;5.4;20;0.449
San Sebastian Reyes B|Mexico FC;San Sebastian Reyes B;Mexico FC;Spain;Tercera RFEF - Group 7;13:00;2026-03-08;X;DRAW;90;NEGLECT_UP;3.15;1.6129032258064457;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);38;110.0;109.8;4.8;20;0.449
Buriram (Tha)|Melbourne City (Aus);Buriram (Tha);Melbourne City (Aus);Asia;AFC Champions League;13:15;2026-03-10;X;DRAW;90;NEGLECT_UP;3.66;2.8089887640449462;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);44;104.6;104.0;6.0;20;0.449
Fuzesabony|Nyiregyhaza II;Fuzesabony;Nyiregyhaza II;Hungary;NB III - Northeast;14:00;2026-03-08;1;HOME;90;CORRECTION_UP;2.3;0.8771929824561412;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);29;109.5;109.1;0.6;20;0.449
CSKA Sofia II|Pirin Blagoevgrad;CSKA Sofia II;Pirin Blagoevgrad;Bulgaria;Vtora liga;14:30;2026-03-09;X;DRAW;90;NEGLECT_UP;3.45;2.9850746268656745;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);120;108.4;107.7;5.6;20;0.449
Spisske Podhradie|Poprad;Spisske Podhradie;Poprad;Slovakia;3. Liga - East;14:30;2026-03-08;1;HOME;90;NEGLECT_UP;2.9;2.1126760563380302;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);50;109.4;108.6;4.0;20;0.449
St. Pauli|Eintracht Frankfurt;St. Pauli;Eintracht Frankfurt;Germany;Bundesliga;15:30;2026-03-08;1;HOME;90;NEGLECT_UP;2.87;2.50000000000001;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);175;101.0;100.7;3.9;20;0.449
RAC Casablanca|Chabab Atlas Khenifra;RAC Casablanca;Chabab Atlas Khenifra;Morocco;Botola 2;16:00;2026-03-07;1;HOME;90;CORRECTION_UP;2.35;0.858369098712447;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);53;108.8;108.4;1.0;20;0.449
Golden Arrows|Durban City;Golden Arrows;Durban City;South Africa;Nedbank Cup;17:00;2026-03-08;1;HOME;90;NEGLECT_UP;2.72;1.492537313432837;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);24;108.0;107.2;3.2;20;0.449
Siello|Pozuelo de Alarcon;Siello;Pozuelo de Alarcon;Spain;Tercera RFEF - Group 7;17:00;2026-03-08;2;AWAY;90;NEGLECT_UP;2.45;2.0833333333333446;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);38;110.0;109.9;1.7;20;0.449
Sturm Graz|Altach;Sturm Graz;Altach;Austria;Bundesliga;17:00;2026-03-08;2;AWAY;90;NEGLECT_UP;4.0;2.5641025641025665;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);175;103.6;103.2;6.6;20;0.449
Wusum Stars|Wilberforce Strikers;Wusum Stars;Wilberforce Strikers;Sierra Leone;Premier League;17:15;2026-03-08;1;HOME;90;CORRECTION_UP;2.42;0.8333333333333341;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);17;109.3;109.1;1.5;20;0.449
Lok. Sofia|Slavia Sofia;Lok. Sofia;Slavia Sofia;Bulgaria;efbet League;18:00;2026-03-13;1;HOME;90;NEGLECT_UP;2.0;1.010101010101011;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);29;109.1;108.3;0;20;0.449
Stuttgart|FC Porto;Stuttgart;FC Porto;Europe;Europa League;18:45;2026-03-12;2;AWAY;90;NEGLECT_UP;3.58;2.285714285714288;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);120;101.8;101.2;5.9;20;0.449
Pescara|Bari;Pescara;Bari;Italy;Serie B;19:30;2026-03-08;X;DRAW;90;NEGLECT_UP;3.45;1.4705882352941255;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);175;99.8;100.0;5.6;20;0.449
Dunkerque|Reims;Dunkerque;Reims;France;Ligue 2;20:45;2026-03-09;1;HOME;90;NEGLECT_UP;3.55;2.011494252873559;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);120;102.1;102.5;5.8;20;0.449
Celta Vigo|Lyon;Celta Vigo;Lyon;Europe;Europa League;21:00;2026-03-12;1;HOME;90;NEGLECT_UP;2.19;1.8604651162790715;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);120;102.1;101.3;0;20;0.449
Leones|Envigado;Leones;Envigado;Colombia;Primera B;21:30;2026-03-11;X;DRAW;90;DRIFT_UP;3.27;2.187499999999995;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);37;107.3;107.4;5.2;20;0.449
Atletico-MG|Internacional;Atletico-MG;Internacional;Brazil;Serie A Betano;23:00;2026-03-11;1;HOME;90;NEGLECT_UP;2.04;3.030303030303033;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);120;103.5;102.8;0;20;0.449
G3X|Capim;G3X;Capim;Brazil;Kings League - Brazil;23:00;2026-03-09;2;AWAY;90;NEGLECT_UP;3.15;2.2727272727272676;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);52;109.3;108.6;4.8;20;0.449
Charlotte|Austin FC;Charlotte;Austin FC;USA;MLS;01:30;2026-03-08;2;AWAY;80;NEGLECT_UP;3.79;2.4324324324324285;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_fav(+10) sweet(+5);175;102.7;102.3;6.3;20;0.449
Gremio|Bragantino;Gremio;Bragantino;Brazil;Serie A Betano;01:30;2026-03-13;1;HOME;80;DRIFT_UP;2.05;0.9852216748768483;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_fav(+10) sweet(+5);64;100.1;100.3;0;20;0.449
Daejeon Korail|Chuncheon;Daejeon Korail;Chuncheon;South Korea;K3 League;06:00;2026-03-08;1;HOME;80;CORRECTION_UP;1.8;0.5586592178770954;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) sweet(+5);90;107.3;106.5;0;20;0.449
Racing Montevideo|CA Cerro;Racing Montevideo;CA Cerro;Uruguay;Liga AUF Uruguaya;13:45;2026-03-08;X;DRAW;80;NEGLECT_UP;3.31;1.8461538461538478;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_fav(+10) sweet(+5);175;104.9;104.0;5.3;20;0.449
Jeddeloh|Meppen;Jeddeloh;Meppen;Germany;Regionalliga North;15:00;2026-03-08;2;AWAY;80;DRIFT_UP;1.81;0.555555555555556;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) sweet(+5);175;108.7;108.0;0;20;0.449
