match_id;home;away;country;league;kick_off;match_date;market;predicted_outcome;score;signal_type;close_odds;pct_change;breakdown;n_snapshots;open_overround;close_overround;kelly_pct;suggested_eur;est_winprob
D. Concepcion|Nublense;D. Concepcion;Nublense;Chile;Liga de Primera;00:30;2026-03-07;X;DRAW;90;NEGLECT_UP;3.33;2.14723926380369;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);151;104.9;104.1;5.3;20;0.449
Mirassol|Santos;Mirassol;Santos;Brazil;Serie A Betano;01:30;2026-03-11;1;HOME;90;CORRECTION_UP;2.03;0.9950248756218916;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);113;103.7;103.2;0;20;0.449
Orense (Ecu)|Macara (Ecu);Orense (Ecu);Macara (Ecu);South America;Copa Sudamericana;03:00;2026-03-06;1;HOME;90;NEGLECT_UP;2.0;2.5641025641025665;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);277;102.5;101.8;0;20;0.449
Sacramento Republic|FC Tulsa;Sacramento Republic;FC Tulsa;USA;USL Championship;04:00;2026-03-08;X;DRAW;90;NEGLECT_UP;3.1;1.6393442622950907;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);169;106.3;105.7;4.7;20;0.449
Yenisey|Kamaz;Yenisey;Kamaz;Russia;FNL;09:00;2026-03-08;1;HOME;90;NEGLECT_UP;2.3;2.2222222222222143;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);169;103.1;103.7;0.6;20;0.449
Sivasspor|Keciorengucu;Sivasspor;Keciorengucu;Turkey;1. Lig;11:30;2026-03-07;2;AWAY;90;NEGLECT_UP;3.69;5.128205128205133;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);151;104.1;104.0;6.1;20;0.449
Sukhothai|Rayong FC;Sukhothai;Rayong FC;Thailand;Thai League 1;12:00;2026-03-07;1;HOME;90;CORRECTION_UP;2.82;0.714285714285715;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);151;106.5;105.9;3.7;20;0.449
FK Chayka|Saratov;FK Chayka;Saratov;Russia;FNL;13:00;2026-03-07;1;HOME;90;CORRECTION_UP;2.64;0.7633587786259549;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);151;104.2;104.5;2.8;20;0.449
Blackburn|Portsmouth;Blackburn;Portsmouth;England;Championship;13:30;2026-03-07;1;HOME;90;NEGLECT_UP;2.62;1.5503875968992262;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);151;101.6;101.6;2.7;20;0.449
Bochum II|Wiedenbruck;Bochum II;Wiedenbruck;Germany;Regionalliga West;14:00;2026-03-08;1;HOME;90;NEGLECT_UP;2.0;1.52284263959391;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);133;108.9;108.9;0;20;0.449
Itapirense|EC Sao Bernardo;Itapirense;EC Sao Bernardo;Brazil;Paulista A3;14:00;2026-03-08;1;HOME;90;CORRECTION_UP;3.17;0.6349206349206356;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);32;110.1;109.9;4.9;20;0.449
Le Mans|Annecy;Le Mans;Annecy;France;Ligue 2;14:00;2026-03-07;1;HOME;90;CORRECTION_UP;2.37;0.8510638297872347;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);151;104.1;104.5;1.2;20;0.449
Lugazi|NEC FC;Lugazi;NEC FC;Uganda;Premier League;14:00;2026-03-06;2;AWAY;90;NEGLECT_UP;2.25;1.3513513513513424;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);37;109.9;109.5;0.2;20;0.449
Rio Claro|Bandeirante;Rio Claro;Bandeirante;Brazil;Paulista A3;14:00;2026-03-08;X;DRAW;90;NEGLECT_UP;3.68;1.0989010989010999;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);32;110.1;110.2;6.1;20;0.449
Schott Mainz|Freiburg II;Schott Mainz;Freiburg II;Germany;Regionalliga Sudwest;14:00;2026-03-07;1;HOME;90;NEGLECT_UP;2.99;2.047781569965872;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);117;109.0;108.5;4.3;20;0.449
Lok. Gorna|Hebar;Lok. Gorna;Hebar;Bulgaria;Vtora liga;14:30;2026-03-07;1;HOME;90;NEGLECT_UP;2.11;1.4423076923076827;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);151;108.7;108.0;0;20;0.449
FK Rostov|Baltika;FK Rostov;Baltika;Russia;Premier League;14:45;2026-03-07;X;DRAW;90;CORRECTION_UP;3.1;0.6493506493506499;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);151;101.3;100.3;4.7;20;0.449
Belisia Bilzen|Knokke;Belisia Bilzen;Knokke;Belgium;National Division 1 - VV;15:00;2026-03-08;X;DRAW;90;CORRECTION_UP;3.52;0.571428571428572;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);104;111.4;111.2;5.8;20;0.449
Cercle Brugge KSV 2|Lyra-Lierse;Cercle Brugge KSV 2;Lyra-Lierse;Belgium;National Division 1 - VV;15:00;2026-03-08;2;AWAY;90;NEGLECT_UP;3.24;1.250000000000001;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);104;111.1;110.2;5.1;20;0.449
Gorica|Slaven Belupo;Gorica;Slaven Belupo;Croatia;HNL;15:00;2026-03-07;1;HOME;90;NEGLECT_UP;2.39;2.1367521367521483;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);151;103.3;102.4;1.3;20;0.449
Zelzate|Houtvenne;Zelzate;Houtvenne;Belgium;National Division 1 - VV;15:00;2026-03-08;X;DRAW;90;NEGLECT_UP;3.64;1.111111111111112;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);104;111.5;111.2;6.0;20;0.449
Komarno|Ruzomberok;Komarno;Ruzomberok;Slovakia;Nike liga;15:30;2026-03-08;1;HOME;90;NEGLECT_UP;2.03;1.4999999999999902;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);169;105.7;105.1;0;20;0.449
Skalica|Presov;Skalica;Presov;Slovakia;Nike liga;15:30;2026-03-07;2;AWAY;90;NEGLECT_UP;3.2;1.9108280254777086;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);151;104.9;105.6;5.0;20;0.449
Bamber Bridge|Hednesford;Bamber Bridge;Hednesford;England;NPL Premier Division;16:00;2026-03-07;2;AWAY;90;DRIFT_UP;2.45;0.8230452674897125;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);53;107.6;106.8;1.7;20;0.449
K. Lierse S.K.|Club Brugge KV U23;K. Lierse S.K.;Club Brugge KV U23;Belgium;Challenger Pro League;16:00;2026-03-07;X;DRAW;90;DRIFT_UP;3.66;0.8264462809917426;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);151;105.5;105.3;6.0;20;0.449
Quorn|Real Bedford;Quorn;Real Bedford;England;Southern League Premier Central;16:00;2026-03-07;X;DRAW;90;NEGLECT_UP;3.7;1.3698630136986376;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);52;109.4;108.6;6.1;20;0.449
Tirol|Grazer AK;Tirol;Grazer AK;Austria;Bundesliga;17:00;2026-03-08;1;HOME;90;CORRECTION_UP;2.38;0.8474576271186449;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);169;103.4;102.8;1.2;20;0.449
Bayreuth|Bayern II;Bayreuth;Bayern II;Germany;Regionalliga Bayern;19:00;2026-03-06;2;AWAY;90;NEGLECT_UP;2.0;1.52284263959391;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);244;108.9;108.8;0;20;0.449
Burghausen|Eichstatt;Burghausen;Eichstatt;Germany;Regionalliga Bayern;19:00;2026-03-06;2;AWAY;90;NEGLECT_UP;2.52;7.6923076923077;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);244;109.9;108.9;2.2;20;0.449
Chauray|Bayonne;Chauray;Bayonne;France;National 2 - Group A;19:30;2026-03-06;1;HOME;90;CORRECTION_UP;3.62;0.555555555555556;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);48;103.9;103.5;6.0;20;0.449
Epinal|Colmar;Epinal;Colmar;France;National 2 - Group B;19:30;2026-03-06;1;HOME;90;CORRECTION_UP;2.29;0.8810572687224677;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);51;109.4;110.2;0.5;20;0.449
Oberhausen|Schalke II;Oberhausen;Schalke II;Germany;Regionalliga West;19:30;2026-03-06;2;AWAY;90;NEGLECT_UP;3.0;2.040816326530614;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);242;109.1;108.9;4.3;20;0.449
Royal Union SG 2|Namur;Royal Union SG 2;Namur;Belgium;National Division 1 - ACFF;19:30;2026-03-07;2;AWAY;90;NEGLECT_UP;3.59;1.1267605633802829;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);132;110.1;110.1;5.9;20;0.449
Confianca|Sergipe;Confianca;Sergipe;Brazil;Sergipano;20:00;2026-03-07;X;DRAW;90;NEGLECT_UP;3.5;1.4492753623188355;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);147;109.6;109.8;5.7;20;0.449
Meux|Habay La Neuve;Meux;Habay La Neuve;Belgium;National Division 1 - ACFF;20:00;2026-03-07;1;HOME;90;CORRECTION_UP;2.52;0.8000000000000007;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);132;111.3;111.1;2.2;20;0.449
