match_id;home;away;country;league;kick_off;match_date;market;predicted_outcome;score;signal_type;close_odds;pct_change;breakdown;n_snapshots;open_overround;close_overround;kelly_pct;suggested_eur;est_winprob
Mirassol|Santos;Mirassol;Santos;Brazil;Serie A Betano;01:30;2026-03-11;1;HOME;90;NEGLECT_UP;2.06;1.4778325123152833;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);88;103.2;102.6;0;20;0.449
Alianza Lima|FBC Melgar;Alianza Lima;FBC Melgar;Peru;Liga 1;02:30;2026-03-10;X;DRAW;90;NEGLECT_UP;3.7;1.3698630136986376;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);87;105.9;105.4;6.1;20;0.449
SKA Khabarovsk|Rodina Moscow;SKA Khabarovsk;Rodina Moscow;Russia;FNL;06:00;2026-03-14;1;HOME;90;DRIFT_UP;3.54;0.8547008547008619;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);13;104.8;104.7;5.8;20;0.449
Zhejiang Professional|Shanghai Shenhua;Zhejiang Professional;Shanghai Shenhua;China;Super League;08:30;2026-03-14;1;HOME;90;CORRECTION_UP;3.34;0.6024096385542175;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);22;104.8;104.7;5.3;20;0.449
Pogon Siedlce|Pruszkow;Pogon Siedlce;Pruszkow;Poland;Division 1;12:00;2026-03-15;X;DRAW;90;NEGLECT_UP;3.37;1.2012012012012023;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);17;107.0;106.3;5.4;20;0.449
CSKA Sofia II|Pirin Blagoevgrad;CSKA Sofia II;Pirin Blagoevgrad;Bulgaria;Vtora liga;14:30;2026-03-09;X;DRAW;90;NEGLECT_UP;3.45;2.9850746268656745;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);130;108.4;107.6;5.6;20;0.449
Dundee FC|Dundee Utd;Dundee FC;Dundee Utd;Scotland;Premiership;15:00;2026-03-15;2;AWAY;90;CORRECTION_UP;3.3;0.6097560975609762;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);23;103.1;103.4;5.2;20;0.449
Birmingham|Sheffield Utd;Birmingham;Sheffield Utd;England;Championship;16:00;2026-03-14;1;HOME;90;NEGLECT_UP;2.38;2.5862068965517264;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);57;103.9;103.6;1.2;20;0.449
Crewe|Walsall;Crewe;Walsall;England;League Two;16:00;2026-03-14;1;HOME;90;CORRECTION_UP;2.32;0.8695652173913052;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);31;105.5;106.0;0.8;20;0.449
Gil Vicente U23|Vizela U23;Gil Vicente U23;Vizela U23;Portugal;Liga Revelacao U23;16:00;2026-03-09;2;AWAY;90;NEGLECT_UP;3.69;1.3736263736263687;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);48;106.4;106.6;6.1;20;0.449
Mansfield|Barnsley;Mansfield;Barnsley;England;League One;16:00;2026-03-14;2;AWAY;90;NEGLECT_UP;2.78;1.090909090909084;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);30;106.3;105.4;3.5;20;0.449
RAC Casablanca|Chabab Atlas Khenifra;RAC Casablanca;Chabab Atlas Khenifra;Morocco;Botola 2;16:00;2026-03-07;1;HOME;90;CORRECTION_UP;2.35;0.858369098712447;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);54;108.8;108.4;1.0;20;0.449
RDF|USFA;RDF;USFA;Burkina Faso;Premier League;17:00;2026-03-09;2;AWAY;90;NEGLECT_UP;2.12;2.4154589371980806;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);40;110.1;109.7;0;20;0.449
AZ Alkmaar|Sparta Prague;AZ Alkmaar;Sparta Prague;Europe;Conference League;18:45;2026-03-12;X;DRAW;90;NEGLECT_UP;3.55;1.4285714285714235;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);88;102.1;102.4;5.8;20;0.449
Benfica B|Feirense;Benfica B;Feirense;Portugal;Liga Portugal 2;19:00;2026-03-09;X;DRAW;90;NEGLECT_UP;3.4;1.4925373134328304;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);130;106.0;105.0;5.5;20;0.449
Internacional W|Bragantino W;Internacional W;Bragantino W;Brazil;Brasileiro Women;19:00;2026-03-14;X;DRAW;90;NEGLECT_UP;3.1;1.6393442622950907;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);57;111.2;110.7;4.7;20;0.449
Tromso|Fredrikstad;Tromso;Fredrikstad;Norway;Eliteserien;19:15;2026-03-15;X;DRAW;90;CORRECTION_UP;3.83;0.789473684210533;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);23;103.3;103.1;6.4;20;0.449
Fluminense|Athletico-PR;Fluminense;Athletico-PR;Brazil;Serie A Betano;20:00;2026-03-15;X;DRAW;90;NEGLECT_UP;3.7;1.3698630136986376;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);23;103.4;102.7;6.1;20;0.449
Jong AZ|FC Emmen;Jong AZ;FC Emmen;Netherlands;Eerste Divisie;20:00;2026-03-09;2;AWAY;90;NEGLECT_UP;3.19;1.269841269841271;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);130;104.0;103.6;4.9;20;0.449
Santos|Corinthians;Santos;Corinthians;Brazil;Serie A Betano;20:00;2026-03-15;X;DRAW;90;NEGLECT_UP;3.29;1.2307692307692317;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);23;104.2;103.8;5.2;20;0.449
El Gaish|Al Ahly;El Gaish;Al Ahly;Egypt;Premier League;20:30;2026-03-09;X;DRAW;90;NEGLECT_UP;3.7;1.6483516483516498;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);130;106.1;105.3;6.1;20;0.449
Oxford Utd|Blackburn;Oxford Utd;Blackburn;England;Championship;20:45;2026-03-11;2;AWAY;90;NEGLECT_UP;2.71;3.4351145038167887;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);88;104.2;103.2;3.2;20;0.449
Leones|Envigado;Leones;Envigado;Colombia;Primera B;21:30;2026-03-11;X;DRAW;90;NEGLECT_UP;3.27;2.187499999999995;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);61;107.3;107.4;5.2;20;0.449
Independiente|Union de Santa Fe;Independiente;Union de Santa Fe;Argentina;Liga Profesional;23:45;2026-03-10;2;AWAY;90;NEGLECT_UP;3.75;1.3513513513513467;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);87;102.7;103.3;6.2;20;0.449
Atl. Tucuman|Aldosivi;Atl. Tucuman;Aldosivi;Argentina;Liga Profesional;02:00;2026-03-12;1;HOME;80;NEGLECT_UP;1.95;1.5625000000000013;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) sweet(+5);88;103.5;103.9;0;20;0.449
Kaiserslautern|Karlsruher SC;Kaiserslautern;Karlsruher SC;Germany;2. Bundesliga;13:30;2026-03-15;1;HOME;80;CORRECTION_UP;1.95;0.5154639175257737;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) sweet(+5);14;103.5;104.4;0;20;0.449
