match_id;home;away;country;league;kick_off;match_date;market;predicted_outcome;score;signal_type;close_odds;pct_change;breakdown;n_snapshots;open_overround;close_overround;kelly_pct;suggested_eur;est_winprob
Juventud (Uru)|Ind. Medellin (Col);Juventud (Uru);Ind. Medellin (Col);South America;Copa Libertadores;01:30;2026-03-06;X;DRAW;90;NEGLECT_UP;3.3;1.538461538461533;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);53;103.0;102.5;5.2;20;0.449
Puerto Cabello (Ven)|Monagas (Ven);Puerto Cabello (Ven);Monagas (Ven);South America;Copa Sudamericana;01:30;2026-03-04;1;HOME;90;CORRECTION_UP;2.04;0.990099009900991;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);48;100.7;99.9;0;20;0.449
Birmingham|Tampa Bay;Birmingham;Tampa Bay;USA;USL Championship;02:00;2026-03-08;X;DRAW;90;NEGLECT_UP;3.73;1.3586956521739082;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);46;106.6;105.8;6.2;20;0.449
San Antonio|Phoenix Rising;San Antonio;Phoenix Rising;USA;USL Championship;02:30;2026-03-08;X;DRAW;90;CORRECTION_UP;3.4;0.8902077151335253;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);46;106.5;106.6;5.5;20;0.449
Ansan Greeners|Busan;Ansan Greeners;Busan;South Korea;K League 2;06:00;2026-03-08;1;HOME;90;CORRECTION_UP;3.75;0.8064516129032205;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);27;106.9;106.2;6.2;20;0.449
Avispa Fukuoka|Nagoya Grampus;Avispa Fukuoka;Nagoya Grampus;Japan;J1 League;08:00;2026-03-07;1;HOME;90;NEGLECT_UP;2.9;2.8368794326241162;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);46;104.7;103.7;4.0;20;0.449
Denmark U19 W|Norway U19 W;Denmark U19 W;Norway U19 W;World;Friendly International Women;13:00;2026-03-03;1;HOME;90;CORRECTION_UP;2.8;0.7194244604316554;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);54;109.2;108.9;3.6;20;0.449
Gjilani|Malisheva;Gjilani;Malisheva;Kosovo;Superliga;13:00;2026-02-28;2;AWAY;90;NEGLECT_UP;2.96;2.7777777777777803;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);80;109.1;108.4;4.2;20;0.449
Hull|Millwall;Hull;Millwall;England;Championship;13:30;2026-03-07;1;HOME;90;NEGLECT_UP;2.76;3.3707865168539275;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);46;104.5;103.6;3.4;20;0.449
Netanya|Hapoel Haifa;Netanya;Hapoel Haifa;Israel;Ligat ha'Al;13:30;2026-03-07;X;DRAW;90;NEGLECT_UP;3.73;1.3586956521739082;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);46;106.7;106.3;6.2;20;0.449
