match_id;home;away;country;league;kick_off;match_date;market;predicted_outcome;score;signal_type;close_odds;pct_change;breakdown;n_snapshots;open_overround;close_overround;kelly_pct;suggested_eur;est_winprob
Tapatio|Tlaxcala;Tapatio;Tlaxcala;Mexico;Liga de Expansion MX;23:00;2026-02-22;1;HOME;80;NEGLECT_UP;1.93;1.0471204188481684;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) sweet(+5);165;109.9;109.9;0;20;0.449
CD Santa Cruz|Cobreloa;CD Santa Cruz;Cobreloa;Chile;Liga de Ascenso;00:30;2026-02-28;X;DRAW;75;CORRECTION_UP;3.42;1.7857142857142874;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);6;107.7;107.8;5.5;20;0.449
Swit Szczecin|Skierniewice;Swit Szczecin;Skierniewice;Poland;Division 2;11:15;2026-02-28;X;DRAW;75;CORRECTION_UP;3.34;0.9063444108761269;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);4;112.0;112.0;5.3;20;0.449
Vanspor FK|Erzurumspor;Vanspor FK;Erzurumspor;Turkey;1. Lig;11:30;2026-02-28;X;DRAW;75;CORRECTION_UP;3.24;1.5673981191222657;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);6;106.5;105.6;5.1;20;0.449
Geylang II|Lion City II;Geylang II;Lion City II;Singapore;Premier League 2;13:30;2026-02-24;2;AWAY;75;NEGLECT_UP;2.61;1.162790697674411;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);10;110.0;109.4;2.7;20;0.449
Marek|Yantra Gabrovo;Marek;Yantra Gabrovo;Bulgaria;Vtora liga;13:30;2026-03-01;X;DRAW;75;NEGLECT_UP;2.9;2.8368794326241162;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);7;109.0;108.8;4.0;20;0.449
Ellas Syrou|Ilioupoli;Ellas Syrou;Ilioupoli;Greece;Super League 2;14:00;2026-03-01;1;HOME;75;CORRECTION_UP;2.0;0.5025125628140708;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);7;108.5;109.5;0;20;0.449
Kampaniakos|Makedonikos;Kampaniakos;Makedonikos;Greece;Super League 2;14:00;2026-03-01;X;DRAW;75;NEGLECT_UP;3.75;1.3513513513513467;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);7;108.4;108.0;6.2;20;0.449
Karditsa|Iraklis 1908;Karditsa;Iraklis 1908;Greece;Super League 2;14:00;2026-03-01;X;DRAW;75;NEGLECT_UP;2.9;1.3986013986014;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);7;109.6;109.4;4.0;20;0.449
Eintracht Frankfurt U19|Sporting CP U19;Eintracht Frankfurt U19;Sporting CP U19;Europe;UEFA Youth League;16:00;2026-02-24;1;HOME;75;CORRECTION_UP;3.78;0.7999999999999948;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);14;104.5;105.3;6.3;20;0.449
Glenavon|Portadown;Glenavon;Portadown;Northern Ireland;NIFL Premiership;16:00;2026-02-28;1;HOME;75;CORRECTION_UP;2.85;1.0638297872340514;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);6;106.6;106.3;3.8;20;0.449
Zeleznicar Pancevo|Vojvodina;Zeleznicar Pancevo;Vojvodina;Serbia;Mozzart Bet Super Liga;16:00;2026-02-28;X;DRAW;75;CORRECTION_UP;3.47;2.058823529411773;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);6;104.6;104.0;5.6;20;0.449
IMT Novi Beograd|Radnik;IMT Novi Beograd;Radnik;Serbia;Mozzart Bet Super Liga;17:00;2026-03-02;X;DRAW;75;NEGLECT_UP;3.4;1.4925373134328304;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);7;103.7;103.2;5.5;20;0.449
Sakaryaspor|Sariyer;Sakaryaspor;Sariyer;Turkey;1. Lig;18:00;2026-03-01;1;HOME;75;NEGLECT_UP;3.15;1.2861736334405156;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);7;104.7;104.4;4.8;20;0.449
Feirense|Felgueiras;Feirense;Felgueiras;Portugal;Liga Portugal 2;19:00;2026-03-02;X;DRAW;75;NEGLECT_UP;3.0;1.0101010101010035;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);7;106.0;105.7;4.3;20;0.449
Al Bukiryah|Al Jandal;Al Bukiryah;Al Jandal;Saudi Arabia;Division 1;19:45;2026-02-24;X;DRAW;75;NEGLECT_UP;3.36;1.81818181818182;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);14;106.6;106.1;5.4;20;0.449
Operario-PR|Londrina;Operario-PR;Londrina;Brazil;Paranaense;20:00;2026-02-28;X;DRAW;75;NEGLECT_UP;3.05;1.328903654485051;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);7;109.0;108.2;4.5;20;0.449
Amiens|Troyes;Amiens;Troyes;France;Ligue 2;20:45;2026-03-02;X;DRAW;75;CORRECTION_UP;3.59;0.8426966292134775;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);5;104.9;104.6;5.9;20;0.449
Cardiff Metropolitan|Briton Ferry;Cardiff Metropolitan;Briton Ferry;Wales;Cymru Premier;20:45;2026-02-27;2;AWAY;75;CORRECTION_UP;3.44;0.5847953216374274;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);5;109.1;108.9;5.6;20;0.449
Gremio|Internacional;Gremio;Internacional;Brazil;Gaucho;21:00;2026-03-01;1;HOME;75;CORRECTION_UP;2.22;0.9090909090909097;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);7;108.5;108.1;0;20;0.449
Rio Ave U23|Vizela U23;Rio Ave U23;Vizela U23;Portugal;Liga Revelacao U23;21:00;2026-02-24;X;DRAW;75;CORRECTION_UP;3.6;0.5586592178770954;smooth(+20) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);14;105.6;105.5;5.9;20;0.449
