match_id;home;away;country;league;kick_off;match_date;market;predicted_outcome;score;signal_type;close_odds;pct_change;breakdown;n_snapshots;open_overround;close_overround;kelly_pct;suggested_eur;est_winprob
Atl. San Luis|Pachuca;Atl. San Luis;Pachuca;Mexico;Liga MX;00:00;2026-03-15;2;AWAY;90;NEGLECT_UP;2.65;1.1450381679389239;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);118;103.8;103.8;2.9;20;0.449
Deportes Tolima|O'Higgins;Deportes Tolima;O'Higgins;South America;Copa Libertadores;01:30;2026-03-12;X;DRAW;90;NEGLECT_UP;4.0;2.5641025641025665;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);64;102.5;101.8;6.6;20;0.449
Wellington Phoenix|Perth Glory;Wellington Phoenix;Perth Glory;Australia;A-League;03:00;2026-03-14;X;DRAW;90;NEGLECT_UP;3.75;1.3513513513513467;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);118;103.1;102.7;6.2;20;0.449
Central Coast Mariners U23|Canterbury Bankstown;Central Coast Mariners U23;Canterbury Bankstown;Australia;NSW League One;05:00;2026-03-15;2;AWAY;90;NEGLECT_UP;2.46;2.500000000000002;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);53;109.6;110.4;1.8;20;0.449
Kyoto|Cerezo Osaka;Kyoto;Cerezo Osaka;Japan;J1 League;06:00;2026-03-14;1;HOME;90;NEGLECT_UP;2.16;2.8571428571428594;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);118;104.0;103.0;0;20;0.449
Kashima Antlers|Kawasaki Frontale;Kashima Antlers;Kawasaki Frontale;Japan;J1 League;07:00;2026-03-14;1;HOME;90;NEGLECT_UP;2.04;1.4925373134328483;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);118;102.2;101.7;0;20;0.449
Vizela|Lusitania FC;Vizela;Lusitania FC;Portugal;Liga Portugal 2;12:00;2026-03-15;1;HOME;90;NEGLECT_UP;2.0;1.52284263959391;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);117;106.0;105.2;0;20;0.449
Braunschweig|Dusseldorf;Braunschweig;Dusseldorf;Germany;2. Bundesliga;13:00;2026-03-14;1;HOME;90;NEGLECT_UP;3.34;2.1406727828746126;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);118;103.2;103.0;5.3;20;0.449
Genk|St. Truiden;Genk;St. Truiden;Belgium;Jupiler Pro League;13:30;2026-03-15;1;HOME;90;NEGLECT_UP;2.25;2.2727272727272645;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);117;101.9;101.9;0.2;20;0.449
Wealdstone|Solihull Moors;Wealdstone;Solihull Moors;England;National League;13:30;2026-03-14;2;AWAY;90;NEGLECT_UP;2.8;5.660377358490563;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);118;105.1;105.1;3.6;20;0.449
Aschaffenburg|Ansbach;Aschaffenburg;Ansbach;Germany;Regionalliga Bayern;14:00;2026-03-14;2;AWAY;90;NEGLECT_UP;2.0;2.040816326530614;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);80;108.9;108.4;0;20;0.449
Bremer|Phonix Lubeck;Bremer;Phonix Lubeck;Germany;Regionalliga North;14:00;2026-03-15;2;AWAY;90;NEGLECT_UP;2.58;1.176470588235304;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);80;107.9;108.6;2.5;20;0.449
Eintracht Trier|FSV Frankfurt;Eintracht Trier;FSV Frankfurt;Germany;Regionalliga Sudwest;14:00;2026-03-14;1;HOME;90;NEGLECT_UP;2.55;4.0816326530612095;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);78;109.9;109.5;2.3;20;0.449
Esbjerg|Hillerod;Esbjerg;Hillerod;Denmark;1st Division;14:00;2026-03-15;2;AWAY;90;NEGLECT_UP;2.98;1.0169491525423662;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);117;104.3;104.8;4.3;20;0.449
Illertissen|Burghausen;Illertissen;Burghausen;Germany;Regionalliga Bayern;14:00;2026-03-14;X;DRAW;90;NEGLECT_UP;3.7;2.77777777777778;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);80;108.7;107.7;6.1;20;0.449
Lausanne|Young Boys;Lausanne;Young Boys;Switzerland;Super League;14:00;2026-03-15;1;HOME;90;NEGLECT_UP;2.55;1.5936254980079698;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);117;104.5;103.8;2.3;20;0.449
St. Pauli II|Schoningen;St. Pauli II;Schoningen;Germany;Regionalliga North;14:00;2026-03-15;2;AWAY;90;CORRECTION_UP;2.52;0.8000000000000007;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);80;108.0;108.9;2.2;20;0.449
Highbury|Cape Town City;Highbury;Cape Town City;South Africa;Motsepe Foundation Championship;14:30;2026-03-13;1;HOME;90;NEGLECT_UP;3.3;1.538461538461533;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);95;109.1;109.5;5.2;20;0.449
Vigor Lamezia|Castrumfavara;Vigor Lamezia;Castrumfavara;Italy;Serie D - Group I;14:30;2026-03-15;2;AWAY;90;NEGLECT_UP;2.55;2.822580645161284;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);79;109.9;110.2;2.3;20;0.449
Hradec Kralove|Ostrava;Hradec Kralove;Ostrava;Czech Republic;Chance Liga;15:00;2026-03-14;2;AWAY;90;NEGLECT_UP;3.27;1.5527950310558951;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);117;104.0;103.6;5.2;20;0.449
Juve Stabia|Carrarese;Juve Stabia;Carrarese;Italy;Serie B;15:00;2026-03-14;2;AWAY;90;CORRECTION_UP;3.5;0.8645533141210318;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);117;103.6;103.3;5.7;20;0.449
Kamaz|R. Volgograd;Kamaz;R. Volgograd;Russia;FNL;15:00;2026-03-14;X;DRAW;90;CORRECTION_UP;3.2;0.6289308176100634;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);52;104.6;104.5;5.0;20;0.449
Koln II|Oberhausen;Koln II;Oberhausen;Germany;Regionalliga West;15:00;2026-03-14;X;DRAW;90;NEGLECT_UP;3.7;2.77777777777778;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);78;108.9;107.9;6.1;20;0.449
Presov|Komarno;Presov;Komarno;Slovakia;Nike liga;15:30;2026-03-14;1;HOME;90;NEGLECT_UP;2.35;2.1739130434782727;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);117;104.9;105.0;1.0;20;0.449
Aberdeen|Falkirk;Aberdeen;Falkirk;Scotland;Premiership;16:00;2026-03-14;1;HOME;90;NEGLECT_UP;3.0;1.6949152542372818;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);117;102.6;102.9;4.3;20;0.449
