match_id;home;away;country;league;kick_off;match_date;market;predicted_outcome;score;signal_type;close_odds;pct_change;breakdown;n_snapshots;open_overround;close_overround;kelly_pct;suggested_eur;est_winprob
Birmingham|Tampa Bay;Birmingham;Tampa Bay;USA;USL Championship;02:00;2026-03-08;X;DRAW;90;DRIFT_UP;3.71;0.8152173913043425;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);15;106.6;106.6;6.1;20;0.449
Austin FC II|Minnesota 2;Austin FC II;Minnesota 2;USA;MLS Next Pro;02:30;2026-03-02;1;HOME;90;CORRECTION_UP;2.32;0.8695652173913052;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);45;107.1;106.4;0.8;20;0.449
Hutnik Krakow|KKS Kalisz;Hutnik Krakow;KKS Kalisz;Poland;Division 2;13:00;2026-02-28;X;DRAW;90;NEGLECT_UP;3.55;6.927710843373494;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);248;106.5;105.9;5.8;20;0.449
Zvijezda 09|Sutjeska Foca;Zvijezda 09;Sutjeska Foca;Bosnia and Herzegovina;Prva Liga - RS;13:00;2026-02-28;X;DRAW;90;NEGLECT_UP;3.8;1.3333333333333286;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);130;108.7;108.2;6.3;20;0.449
Forli|Torres;Forli;Torres;Italy;Serie C - Group B;14:30;2026-02-28;2;AWAY;90;DRIFT_UP;3.05;0.993377483443702;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);247;106.0;106.1;4.5;20;0.449
B. Monchengladbach|Union Berlin;B. Monchengladbach;Union Berlin;Germany;Bundesliga;15:30;2026-02-28;2;AWAY;90;NEGLECT_UP;3.2;1.5873015873015959;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);247;101.5;100.8;5.0;20;0.449
Fleetwood|Newport;Fleetwood;Newport;England;League Two;16:00;2026-02-28;X;DRAW;90;NEGLECT_UP;3.89;2.0997375328084007;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);247;105.1;104.2;6.5;20;0.449
Freienbach|Dietikon;Freienbach;Dietikon;Switzerland;1.Liga Classic Group 3;16:00;2026-02-28;X;DRAW;90;CORRECTION_UP;3.5;0.8645533141210318;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);42;109.7;109.2;5.7;20;0.449
Notts Co|Grimsby;Notts Co;Grimsby;England;League Two;16:00;2026-02-28;2;AWAY;90;NEGLECT_UP;3.56;4.093567251461992;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);247;104.4;103.8;5.8;20;0.449
Seraing|Francs Borains;Seraing;Francs Borains;Belgium;Challenger Pro League;16:00;2026-03-08;2;AWAY;90;CORRECTION_UP;2.67;0.7547169811320762;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);15;106.4;106.5;3.0;20;0.449
Picerno|Altamura;Picerno;Altamura;Italy;Serie C - Group C;17:30;2026-02-28;2;AWAY;90;NEGLECT_UP;3.9;1.8276762402088733;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);246;105.7;105.2;6.5;20;0.449
LKS Lodz|Legnica;LKS Lodz;Legnica;Poland;Division 1;19:30;2026-02-28;1;HOME;90;NEGLECT_UP;2.3;2.2222222222222143;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);246;104.7;103.9;0.6;20;0.449
Werder Bremen III|Habenhauser;Werder Bremen III;Habenhauser;Germany;Oberliga Bremen;19:30;2026-02-28;1;HOME;90;NEGLECT_UP;2.06;1.980198019801982;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);66;105.6;104.6;0;20;0.449
Al Adalah|Al-Faisaly;Al Adalah;Al-Faisaly;Saudi Arabia;Division 1;19:45;2026-03-02;X;DRAW;90;NEGLECT_UP;3.74;1.081081081081082;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);44;106.4;106.1;6.2;20;0.449
Genk U23|K. Lierse S.K.;Genk U23;K. Lierse S.K.;Belgium;Challenger Pro League;20:00;2026-02-28;2;AWAY;90;NEGLECT_UP;3.01;1.689189189189183;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);246;103.4;103.0;4.4;20;0.449
Ried|LASK;Ried;LASK;Austria;OFB Cup;20:30;2026-03-04;X;DRAW;90;NEGLECT_UP;3.25;1.5624999999999944;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);77;106.1;105.6;5.1;20;0.449
Sambenedettese|Livorno;Sambenedettese;Livorno;Italy;Serie C - Group B;20:30;2026-02-28;X;DRAW;90;NEGLECT_UP;3.15;1.6129032258064457;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);246;106.0;105.6;4.8;20;0.449
Zurich|Lausanne;Zurich;Lausanne;Switzerland;Super League;20:30;2026-03-04;2;AWAY;90;CORRECTION_UP;2.36;0.8547008547008554;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);15;105.1;104.4;1.1;20;0.449
Finn Harps|Wexford;Finn Harps;Wexford;Ireland;Division 1;20:45;2026-03-06;1;HOME;90;NEGLECT_UP;2.75;1.102941176470581;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);46;106.9;106.3;3.4;20;0.449
Gateshead|Braintree;Gateshead;Braintree;England;National League;20:45;2026-03-04;X;DRAW;90;CORRECTION_UP;3.8;0.795755968169756;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);15;105.8;105.2;6.3;20;0.449
San Miguel|Chaco For Ever;San Miguel;Chaco For Ever;Argentina;Primera Nacional;21:00;2026-02-28;1;HOME;90;NEGLECT_UP;2.16;1.408450704225364;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);247;105.3;104.6;0;20;0.449
Erbil|Diyala;Erbil;Diyala;Iraq;Stars League;21:15;2026-03-01;2;AWAY;90;DRIFT_UP;3.55;0.8522727272727216;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);24;108.9;108.9;5.8;20;0.449
Recoleta|U. Espanola;Recoleta;U. Espanola;Chile;Liga de Ascenso;22:00;2026-02-27;2;AWAY;90;NEGLECT_UP;2.44;5.172413793103453;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);154;106.1;105.3;1.7;20;0.449
IR Tanger|Union Touarga;IR Tanger;Union Touarga;Morocco;Botola Pro;23:00;2026-02-28;X;DRAW;90;NEGLECT_UP;3.0;3.448275862068969;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);247;106.6;105.7;4.3;20;0.449
Montevideo City (Uru)|Defensor Sp. (Uru);Montevideo City (Uru);Defensor Sp. (Uru);South America;Copa Sudamericana;23:00;2026-03-03;2;AWAY;90;CORRECTION_UP;3.73;0.8108108108108055;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);15;103.6;103.3;6.2;20;0.449
Chemal|Kaedi;Chemal;Kaedi;Mauritania;Ligue 1;00:59;2026-03-03;1;HOME;80;CORRECTION_UP;1.95;0.5154639175257737;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) sweet(+5);16;110.2;110.2;0;20;0.449
Kashima Antlers|Verdy;Kashima Antlers;Verdy;Japan;J1 League;08:00;2026-03-07;1;HOME;80;CORRECTION_UP;1.8;0.5586592178770954;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) sweet(+5);17;101.9;102.4;0;20;0.449
East Bengal|Goa;East Bengal;Goa;India;ISL;12:30;2026-03-05;1;HOME;80;CORRECTION_UP;1.95;0.5154639175257737;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) sweet(+5);16;107.0;106.8;0;20;0.449
Karvina|FK Pardubice;Karvina;FK Pardubice;Czech Republic;Chance Liga;15:30;2026-03-08;1;HOME;80;CORRECTION_UP;1.97;0.5102040816326535;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) sweet(+5);15;105.5;104.9;0;20;0.449
Port Vale|Luton;Port Vale;Luton;England;League One;16:00;2026-02-28;2;AWAY;80;NEGLECT_UP;2.19;4.2857142857142785;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_fav(+10) sweet(+5);247;104.0;103.6;0;20;0.449
